time,SO2,O3,NO2,CO
1/1/2022,0,,0.033,1.205
1/2/2022,0.001,,0.033,1.615
1/3/2022,0,,0.031,0.901
1/4/2022,0,,0.027,0.53
1/5/2022,0,,0.027,0.563
1/6/2022,0,,0.024,0.517
1/7/2022,0,,0.026,0.721
1/8/2022,0.001,,0.024,1.293
1/9/2022,0,,0.024,1.092
1/10/2022,0,,0.033,1.3
1/11/2022,0.001,,0.034,1.458
1/12/2022,0.001,,0.031,1.445
1/13/2022,0,,0.033,1.792
1/14/2022,0.002,,0.034,1.681
1/15/2022,0.001,,0.032,1.106
1/16/2022,0.001,,0.033,1.247
1/17/2022,0.001,,0.03,0.969
1/18/2022,0,,0.027,0.931
1/19/2022,0,,0.025,0.778
1/20/2022,0.001,,0.03,0.898
1/21/2022,0.001,,0.03,1.779
1/22/2022,0,,0.034,1.077
1/23/2022,0,,0.032,1.37
1/24/2022,0,,0.034,1.673
1/25/2022,0,,0.027,1.008
1/26/2022,0.001,,0.038,0.791
1/27/2022,0.001,,0.039,
1/28/2022,0.001,,0.04,
1/29/2022,0.002,,0.039,
1/30/2022,0,,0.034,
1/31/2022,0.001,,0.033,0.761
2/1/2022,0.001,,0.023,0.788
2/2/2022,0,,0.028,0.393
2/3/2022,0.001,,0.043,1.5
2/4/2022,0.001,,0.038,1.471
2/5/2022,0.001,,0.042,1.647
2/6/2022,0.002,,0.025,1.428
2/7/2022,0.001,,0.04,1.881
2/8/2022,0.001,,0.041,1.862
2/9/2022,0.001,,0.043,1.887
2/10/2022,0.002,,0.04,1.397
2/11/2022,0.002,,0.037,1.603
2/12/2022,0.001,,0.034,1.054
2/13/2022,0.001,,0.029,1.442
2/14/2022,0,,0.009,0.528
2/15/2022,0,,0.026,0.44
2/16/2022,0.001,,0.031,0.862
2/17/2022,0,,0.032,1.073
2/18/2022,0.002,,0.032,1.234
2/19/2022,0.002,,0.031,1.231
2/20/2022,0,,0.016,0.331
2/21/2022,0,,0.016,0.368
2/22/2022,0,,0.015,0.727
2/23/2022,0,,0.033,0.954
2/24/2022,0,,0.03,0.997
2/25/2022,0.001,,0.032,1.099
2/26/2022,0.002,,0.031,1.292
2/27/2022,0.001,,0.036,0.861
2/28/2022,0.002,,0.037,1.002
3/1/2022,0.001,,0.03,0.769
3/2/2022,0,,0.024,0.667
3/3/2022,0,,0.024,0.604
3/4/2022,0,,0.023,0.449
3/5/2022,0,,0.026,0.988
3/6/2022,0,,0.026,0.963
3/7/2022,0,,0.032,1.094
3/8/2022,0,,0.032,1.357
3/9/2022,0,,0.037,1.208
3/10/2022,0,,0.032,0.943
3/11/2022,0,,0.031,1.448
3/12/2022,0,,0.028,0.769
3/13/2022,0,,0.013,0.432
3/14/2022,0,,0.03,0.588
3/15/2022,0,,0.02,0.395
3/16/2022,0.001,,0.024,0.818
3/17/2022,0,,0.016,0.361
3/18/2022,0,,0.029,0.625
3/19/2022,0,,0.011,0.336
3/20/2022,0,,0.017,0.524
3/21/2022,0.001,,0.032,0.863
3/22/2022,0.001,,0.033,1.283
3/23/2022,0,,0.018,0.408
3/24/2022,0,,0.023,0.561
3/25/2022,0,,0.013,0.32
3/26/2022,0,,0.02,0.523
3/27/2022,0,,0.006,0.386
3/28/2022,0,,0.016,0.382
3/29/2022,0,,0.025,0.278
3/30/2022,0,,0.012,0.282
3/31/2022,0,,0.023,0.532
4/1/2022,0,,0.024,0.549
4/2/2022,0.001,,0.017,0.46
4/3/2022,0,,0.019,0.547
4/4/2022,0,,0.023,0.473
4/5/2022,0,,0.016,0.372
4/6/2022,0.001,,0.034,1.125
4/7/2022,0.001,,0.04,1.522
4/8/2022,0,,0.021,0.725
4/9/2022,0,,0.014,0.425
4/10/2022,0,,0.01,0.316
4/11/2022,0,,0.012,0.344
4/12/2022,0,,0.008,0.337
4/13/2022,0,,0.036,0.403
4/14/2022,0,,0.01,0.31
4/15/2022,0,,0.02,0.349
4/16/2022,0,,0.011,0.38
4/17/2022,0,,0.013,0.397
4/18/2022,0,,0.017,0.374
4/19/2022,0,,0.024,0.291
4/20/2022,0,,0.018,0.358
4/21/2022,0,,0.008,0.307
4/22/2022,0,,0.012,0.359
4/23/2022,0,,0.024,0.599
4/24/2022,0,,0.011,0.391
4/25/2022,0,,0.018,0.384
