time,SO2,O3,NO2,CO
1/1/2022,,0.031,,
1/2/2022,,0.032,,
1/3/2022,,0.036,,
1/4/2022,,0.029,,
1/5/2022,,0.032,,
1/6/2022,,0.023,,
1/7/2022,,0.024,,
1/8/2022,,0.028,,
1/9/2022,,0.026,,
1/10/2022,,0.03,,
1/11/2022,,0.029,,
1/12/2022,,0.027,,
1/13/2022,,0.027,,
1/14/2022,,0.028,,
1/15/2022,,0.031,,
1/16/2022,,0.031,,
1/17/2022,,0.029,,
1/18/2022,,0.031,,
1/19/2022,,0.033,,
1/20/2022,,0.031,,
1/21/2022,,0.034,,
1/22/2022,,0.039,,
1/23/2022,,0.035,,
1/24/2022,,0.036,,
1/25/2022,,0.031,,
1/26/2022,,0.037,,
1/27/2022,,0.039,,
1/28/2022,,0.038,,
1/29/2022,,0.036,,
1/30/2022,,0.037,,
1/31/2022,,0.036,,
2/1/2022,,0.036,,
2/2/2022,,0.037,,
2/3/2022,,0.036,,
2/4/2022,,0.038,,
2/5/2022,,0.04,,
2/6/2022,,0.039,,
2/7/2022,,0.037,,
2/8/2022,,0.037,,
2/9/2022,,0.043,,
2/10/2022,,0.042,,
2/11/2022,,0.039,,
2/12/2022,,0.039,,
2/13/2022,,0.044,,
2/14/2022,,0.044,,
2/15/2022,,0.035,,
2/16/2022,,0.035,,
2/17/2022,,0.038,,
2/18/2022,,0.043,,
2/19/2022,,0.044,,
2/20/2022,,0.04,,
2/21/2022,,0.039,,
2/22/2022,,0.034,,
2/23/2022,,0.035,,
2/24/2022,,0.038,,
2/25/2022,,0.04,,
2/26/2022,,0.039,,
2/27/2022,,0.045,,
2/28/2022,,0.044,,
3/1/2022,,0.04,,
3/2/2022,,0.042,,
3/3/2022,,0.038,,
3/4/2022,,0.038,,
3/5/2022,,0.035,,
3/6/2022,,0.035,,
3/7/2022,,0.041,,
3/8/2022,,0.042,,
3/9/2022,,0.044,,
3/10/2022,,0.04,,
3/11/2022,,0.042,,
3/12/2022,,0.05,,
3/13/2022,,0.044,,
3/14/2022,,0.043,,
3/15/2022,,0.037,,
3/16/2022,,0.041,,
3/17/2022,,0.043,,
3/18/2022,,0.039,,
3/19/2022,,0.037,,
3/20/2022,,0.043,,
3/21/2022,,0.041,,
3/22/2022,,0.043,,
3/23/2022,,0.043,,
3/24/2022,,0.043,,
3/25/2022,,0.046,,
3/26/2022,,0.044,,
3/27/2022,,0.042,,
3/28/2022,,0.035,,
3/29/2022,,0.035,,
3/30/2022,,0.032,,
3/31/2022,,0.04,,
4/1/2022,,0.045,,
4/2/2022,,0.044,,
4/3/2022,,0.048,,
4/4/2022,,0.038,,
4/5/2022,,0.047,,
4/6/2022,,0.047,,
4/7/2022,,0.052,,
4/8/2022,,0.052,,
4/9/2022,,0.044,,
4/10/2022,,0.042,,
4/11/2022,,0.041,,
4/12/2022,,0.044,,
4/13/2022,,0.044,,
4/14/2022,,0.031,,
4/15/2022,,0.044,,
4/16/2022,,0.035,,
4/17/2022,,0.05,,
4/18/2022,,0.047,,
4/19/2022,,0.047,,
4/20/2022,,0.048,,
4/21/2022,,0.042,,
4/22/2022,,0.045,,
4/23/2022,,0.043,,
4/24/2022,,0.048,,
4/25/2022,,0.056,,
4/26/2022,,0.053,,
4/27/2022,,0.053,,
4/28/2022,,0.05,,
4/29/2022,,0.054,,
4/30/2022,,0.045,,
5/1/2022,,0.047,,
5/2/2022,,0.049,,
5/3/2022,,0.048,,
5/4/2022,,0.053,,
5/5/2022,,0.04,,
5/6/2022,,0.037,,
5/7/2022,,0.045,,
5/8/2022,,0.044,,
5/9/2022,,0.044,,
5/10/2022,,0.04,,
5/11/2022,,0.044,,
5/12/2022,,0.049,,
5/13/2022,,0.043,,
5/14/2022,,0.042,,
5/15/2022,,0.037,,
5/16/2022,,0.044,,
5/17/2022,,0.059,,
5/18/2022,,0.061,,
5/19/2022,,0.049,,
5/20/2022,,0.053,,
5/21/2022,,0.053,,
5/22/2022,,0.054,,
5/23/2022,,0.06,,
5/24/2022,,0.064,,
5/25/2022,,0.065,,
5/26/2022,,0.052,,
5/27/2022,,0.043,,
5/28/2022,,0.036,,
5/29/2022,,0.045,,
5/30/2022,,0.049,,
5/31/2022,,0.047,,
6/1/2022,,0.051,,
6/2/2022,,0.06,,
6/3/2022,,0.033,,
6/4/2022,,0.046,,
6/5/2022,,0.031,,
6/6/2022,,0.06,,
6/7/2022,,0.073,,
6/8/2022,,0.052,,
6/9/2022,,0.055,,
6/10/2022,,0.045,,
6/11/2022,,0.038,,
6/12/2022,,0.025,,
6/13/2022,,0.048,,
6/14/2022,,0.054,,
6/15/2022,,0.063,,
6/16/2022,,0.059,,
6/17/2022,,0.04,,
6/18/2022,,0.042,,
6/19/2022,,0.042,,
6/20/2022,,0.047,,
6/21/2022,,0.062,,
6/22/2022,,0.06,,
6/23/2022,,0.064,,
6/24/2022,,0.065,,
6/25/2022,,0.053,,
6/26/2022,,0.049,,
6/27/2022,,0.048,,
6/28/2022,,0.054,,
6/29/2022,,0.058,,
6/30/2022,,0.056,,
7/1/2022,,0.05,,
7/2/2022,,0.045,,
7/3/2022,,0.04,,
7/4/2022,,0.029,,
7/5/2022,,0.031,,
7/6/2022,,0.036,,
7/7/2022,,0.039,,
7/8/2022,,0.05,,
7/9/2022,,0.044,,
7/10/2022,,0.063,,
7/11/2022,,0.058,,
7/12/2022,,0.053,,
7/13/2022,,0.052,,
7/14/2022,,0.055,,
7/15/2022,,0.051,,
7/16/2022,,0.06,,
7/17/2022,,0.052,,
7/18/2022,,0.058,,
7/19/2022,,0.055,,
7/20/2022,,0.052,,
7/21/2022,,0.055,,
7/22/2022,,0.056,,
7/23/2022,,0.064,,
7/24/2022,,0.057,,
7/25/2022,,0.055,,
7/26/2022,,0.057,,
7/27/2022,,0.053,,
7/28/2022,,0.055,,
7/29/2022,,0.053,,
7/30/2022,,0.05,,
7/31/2022,,0.044,,
