time,SO2,O3,NO2,CO
1/1/2022,,,0.02,1.152
1/2/2022,,,0.018,0.918
1/3/2022,,,0.006,0.223
1/4/2022,,,0.004,0.185
1/5/2022,,,0.014,0.573
1/6/2022,,,0.012,0.725
1/7/2022,,,0.009,0.354
1/8/2022,,,0.013,0.687
1/9/2022,,,0.018,1.156
1/10/2022,,,0.016,0.84
1/11/2022,,,0.017,0.661
1/12/2022,,,0.023,1.093
1/13/2022,,,0.017,1.26
1/14/2022,,,0.014,0.949
1/15/2022,,,0.017,0.835
1/16/2022,,,0.016,1.001
1/17/2022,,,0.021,0.859
1/18/2022,,,0.015,1.194
1/19/2022,,,0.011,0.956
1/20/2022,,,0.012,0.741
1/21/2022,,,0.011,0.824
1/22/2022,,,0.012,0.408
1/23/2022,,,0.011,0.678
1/24/2022,,,0.026,0.725
1/25/2022,,,0.015,0.587
1/26/2022,,,0.027,0.897
1/27/2022,,,0.021,0.819
1/28/2022,,,0.02,0.715
1/29/2022,,,0.023,1.189
1/30/2022,,,0.018,0.791
1/31/2022,,,0.012,0.426
2/1/2022,,,0.018,0.479
2/2/2022,,,0.021,0.665
2/3/2022,,,0.026,0.674
2/4/2022,,,0.024,0.576
2/5/2022,,,0.02,0.664
2/6/2022,,,0.021,0.512
2/7/2022,,,0.02,0.545
2/8/2022,,,0.024,0.834
2/9/2022,,,0.025,0.813
2/10/2022,,,0.021,0.562
2/11/2022,,,0.023,0.736
2/12/2022,,,0.021,0.546
2/13/2022,,,0.015,0.422
2/14/2022,,,0.019,0.552
2/15/2022,,,0.007,0.258
2/16/2022,,,0.015,0.263
2/17/2022,,,0.022,0.44
2/18/2022,,,0.014,0.393
2/19/2022,,,0.013,0.393
2/20/2022,,,0.016,0.367
2/21/2022,,,0.006,0.253
2/22/2022,,,0.014,0.411
2/23/2022,,,0.021,0.669
2/24/2022,,,0.024,0.63
2/25/2022,,,0.023,0.688
2/26/2022,,,0.021,0.501
2/27/2022,,,0.013,0.422
2/28/2022,,,0.019,0.425
3/1/2022,,,0.014,0.455
3/2/2022,,,0.012,0.349
3/3/2022,,,0.009,0.302
3/4/2022,,,0.012,0.619
3/5/2022,,,0.011,0.375
3/6/2022,,,0.012,0.37
3/7/2022,,,0.02,0.49
3/8/2022,,,0.011,0.324
3/9/2022,,,0.013,0.318
3/10/2022,,,0.013,0.348
3/11/2022,,,0.013,0.335
3/12/2022,,,0.014,0.339
3/13/2022,,,0.007,0.228
3/14/2022,,,0.016,0.316
3/15/2022,,,0.005,0.202
3/16/2022,,,0.014,0.325
3/17/2022,,,0.012,0.293
3/18/2022,,,0.012,0.376
3/19/2022,,,0.007,0.266
3/20/2022,,,0.004,0.177
3/21/2022,,,0.003,0.149
3/22/2022,,,0.007,0.19
3/23/2022,,,0.01,0.418
3/24/2022,,,0.012,0.507
3/25/2022,,,0.01,0.343
3/26/2022,,,0.01,0.28
3/27/2022,,,0.004,0.172
3/28/2022,,,0.01,0.298
3/29/2022,,,0.008,0.494
3/30/2022,,,0.012,0.314
3/31/2022,,,0.01,0.243
4/1/2022,,,0.015,0.433
4/2/2022,,,0.009,0.202
4/3/2022,,,0.007,0.198
4/4/2022,,,0.007,0.221
4/5/2022,,,0.002,0.152
4/6/2022,,,0.01,0.225
4/7/2022,,,0.016,0.333
4/8/2022,,,0.012,0.254
4/9/2022,,,0.002,0.135
4/10/2022,,,0.002,0.162
4/11/2022,,,0.004,0.176
4/12/2022,,,0.017,0.441
4/13/2022,,,0.007,0.221
4/14/2022,,,0.004,0.17
4/15/2022,,,0.007,0.202
4/16/2022,,,0.004,0.167
4/17/2022,,,0.005,0.167
4/18/2022,,,0.007,0.177
4/19/2022,,,0.008,0.277
4/20/2022,,,0.007,0.218
4/21/2022,,,0.005,0.275
4/22/2022,,,0.012,0.312
4/23/2022,,,0.007,0.213
4/24/2022,,,0.007,0.223
4/25/2022,,,0.008,0.217
4/26/2022,,,0.006,0.309
4/27/2022,,,0.006,0.214
4/28/2022,,,0.005,0.195
4/29/2022,,,0.009,0.268
4/30/2022,,,0.006,0.215
5/1/2022,,,,
5/2/2022,,,0.004,0.172
5/3/2022,,,0.01,0.271
5/4/2022,,,0.009,0.242
5/5/2022,,,0.005,0.206
5/6/2022,,,0.004,0.156
5/7/2022,,,0.003,0.175
5/8/2022,,,0.004,0.17
5/9/2022,,,0.004,0.195
5/10/2022,,,0.006,0.242
5/11/2022,,,0.008,0.245
5/12/2022,,,0.005,0.198
5/13/2022,,,0.011,0.268
5/14/2022,,,0.008,0.217
5/15/2022,,,0.006,0.156
5/16/2022,,,0.007,0.201
5/17/2022,,,0.009,0.226
5/18/2022,,,0.007,0.177
5/19/2022,,,0.002,0.118
5/20/2022,,,0.004,0.159
5/21/2022,,,0.009,0.252
5/22/2022,,,0.006,0.229
5/23/2022,,,0.003,0.139
5/24/2022,,,0.004,0.16
5/25/2022,,,0.009,0.282
5/26/2022,,,0.005,0.177
5/27/2022,,,0.004,0.162
5/28/2022,,,0.003,0.158
5/29/2022,,,0.002,0.136
5/30/2022,,,0.004,0.121
5/31/2022,,,0.01,0.244
6/1/2022,,,0.008,0.211
6/2/2022,,,0.009,0.203
6/3/2022,,,0.004,0.151
6/4/2022,,,0.003,0.157
6/5/2022,,,0.003,0.125
6/6/2022,,,0.009,0.198
6/7/2022,,,0.013,0.26
6/8/2022,,,0.006,0.24
6/9/2022,,,0.007,0.213
6/10/2022,,,0.009,0.245
6/11/2022,,,0.006,0.159
6/12/2022,,,0.003,0.112
6/13/2022,,,0.003,0.134
6/14/2022,,,0.008,0.184
6/15/2022,,,0.008,0.193
6/16/2022,,,0.004,0.149
6/17/2022,,,0.002,0.129
6/18/2022,,,0.007,0.169
6/19/2022,,,0.004,0.164
6/20/2022,,,0.003,0.128
6/21/2022,,,,
6/22/2022,,,,
6/23/2022,,,0.004,0.207
6/24/2022,,,0.006,0.258
6/25/2022,,,0.009,0.231
6/26/2022,,,0.004,0.165
6/27/2022,,,0.007,0.182
6/28/2022,,,0.007,0.174
6/29/2022,,,0.006,0.184
6/30/2022,,,0.007,0.201
7/1/2022,,,0.005,0.161
7/2/2022,,,0.004,0.139
7/3/2022,,,0.003,0.169
7/4/2022,,,0.005,0.206
7/5/2022,,,0.004,0.155
7/6/2022,,,0.002,0.112
7/7/2022,,,0.005,0.19
7/8/2022,,,0.008,0.176
7/9/2022,,,0.004,0.186
7/10/2022,,,0.005,0.175
7/11/2022,,,0.009,0.223
7/12/2022,,,0.012,0.252
7/13/2022,,,0.005,0.163
7/14/2022,,,0.011,0.237
7/15/2022,,,0.007,0.203
7/16/2022,,,0.007,0.231
7/17/2022,,,0.006,0.188
7/18/2022,,,0.008,0.21
7/19/2022,,,0.008,0.172
7/20/2022,,,0.007,0.229
7/21/2022,,,0.01,0.274
7/22/2022,,,0.008,0.186
7/23/2022,,,0.007,0.208
7/24/2022,,,0.007,0.264
7/25/2022,,,0.007,0.213
7/26/2022,,,0.007,0.22
7/27/2022,,,0.005,0.24
7/28/2022,,,0.007,0.207
7/29/2022,,,0.009,0.241
7/30/2022,,,0.007,0.303
7/31/2022,,,,
8/1/2022,,,0.007,0.198
8/2/2022,,,0.015,
8/3/2022,,,0.01,0.215
8/4/2022,,,0.007,0.18
8/5/2022,,,0.004,0.14
8/6/2022,,,0.005,0.181
8/7/2022,,,0.004,0.168
8/8/2022,,,0.004,0.154
8/9/2022,,,0.004,0.151
8/10/2022,,,0.007,0.172
8/11/2022,,,0.007,0.223
8/12/2022,,,0.007,0.19
8/13/2022,,,0.008,0.231
8/14/2022,,,0.008,0.252
8/15/2022,,,0.019,0.652
8/16/2022,,,0.02,0.507
8/17/2022,,,0.016,0.399
8/18/2022,,,0.018,0.41
8/19/2022,,,0.01,0.268
8/20/2022,,,0.01,0.279
8/21/2022,,,0.007,0.194
8/22/2022,,,0.009,0.315
8/23/2022,,,0.013,0.335
8/24/2022,,,0.009,0.262
8/25/2022,,,0.009,0.245
8/26/2022,,,0.008,0.305
8/27/2022,,,0.007,0.235
8/28/2022,,,0.008,0.288
8/29/2022,,,0.009,0.265
8/30/2022,,,0.015,0.32
8/31/2022,,,0.007,0.274
9/1/2022,,,0.012,0.269
9/2/2022,,,0.014,0.422
9/3/2022,,,0.008,0.249
9/4/2022,,,0.01,0.256
9/5/2022,,,0.012,0.355
9/6/2022,,,0.018,0.672
9/7/2022,,,0.014,0.394
9/8/2022,,,0.014,0.404
9/9/2022,,,0.009,0.362
9/10/2022,,,0.009,0.669
9/11/2022,,,0.014,0.745
9/12/2022,,,0.016,0.485
9/13/2022,,,0.007,0.135
9/14/2022,,,0.006,0.197
9/15/2022,,,0.009,0.313
9/16/2022,,,0.003,0.21
9/17/2022,,,0.006,0.674
9/18/2022,,,0.005,0.159
9/19/2022,,,0.004,0.157
9/20/2022,,,0.009,0.248
9/21/2022,,,0.009,0.307
9/22/2022,,,0.015,0.306
9/23/2022,,,0.014,0.343
9/24/2022,,,0.013,0.338
9/25/2022,,,0.013,0.23
9/26/2022,,,0.015,0.355
9/27/2022,,,0.014,0.29
9/28/2022,,,0.012,0.362
9/29/2022,,,0.016,0.348
9/30/2022,,,0.015,0.399
10/1/2022,,,0.012,0.395
10/2/2022,,,0.013,0.313
10/3/2022,,,0.014,0.425
10/4/2022,,,0.015,0.422
10/5/2022,,,0.019,0.501
10/6/2022,,,0.019,0.602
10/7/2022,,,0.018,0.436
10/8/2022,,,0.021,0.554
10/9/2022,,,0.02,0.445
10/10/2022,,,0.019,0.525
10/11/2022,,,0.02,0.956
10/12/2022,,,0.017,0.437
10/13/2022,,,0.016,0.41
10/14/2022,,,0.025,0.654
10/15/2022,,,0.013,0.389
10/16/2022,,,0.007,0.273
10/17/2022,,,0.011,0.317
10/18/2022,,,0.019,0.409
10/19/2022,,,0.026,0.565
10/20/2022,,,0.025,0.627
10/21/2022,,,0.016,0.678
10/22/2022,,,0.004,0.305
10/23/2022,,,0.009,0.255
10/24/2022,,,0.012,0.451
10/25/2022,,,0.024,0.494
10/26/2022,,,0.005,0.25
10/27/2022,,,0.021,0.657
10/28/2022,,,0.027,0.725
10/29/2022,,,0.022,0.731
10/30/2022,,,0.015,0.505
10/31/2022,,,0.023,0.781
11/1/2022,,,0.009,0.347
11/2/2022,,,0.01,0.262
11/3/2022,,,0.02,0.655
11/4/2022,,,0.023,0.667
11/5/2022,,,0.008,0.328
11/6/2022,,,0.004,0.283
11/7/2022,,,0.005,0.218
11/8/2022,,,0.013,0.386
11/9/2022,,,0.014,0.482
11/10/2022,,,0.013,0.818
11/11/2022,,,0.022,1.111
11/12/2022,,,0.014,0.687
11/13/2022,,,0.015,0.846
11/14/2022,,,0.025,0.961
11/15/2022,,,0.021,0.874
11/16/2022,,,0.021,0.81
11/17/2022,,,0.025,1.024
11/18/2022,,,0.025,0.839
11/19/2022,,,0.022,1.069
11/20/2022,,,0.019,1.346
11/21/2022,,,0.026,1.316
11/22/2022,,,0.03,1.218
11/23/2022,,,0.022,1.003
11/24/2022,,,0.023,1.126
11/25/2022,,,0.027,1.101
11/26/2022,,,0.018,0.747
11/27/2022,,,0.024,0.999
11/28/2022,,,0.02,0.915
11/29/2022,,,0.028,0.924
11/30/2022,,,0.02,0.787
12/1/2022,,,0.011,0.401
12/2/2022,,,0.018,0.869
12/3/2022,,,0.01,0.456
12/4/2022,,,0.009,0.445
12/5/2022,,,0.006,0.361
12/6/2022,,,0.014,0.632
12/7/2022,,,0.021,1.071
12/8/2022,,,0.014,0.584
12/9/2022,,,0.009,0.304
12/10/2022,,,0.003,0.22
12/11/2022,,,0.006,0.354
12/12/2022,,,0.021,0.648
12/13/2022,,,0.018,1.191
12/14/2022,,,0.018,1.068
12/15/2022,,,0.017,0.856
12/16/2022,,,0.022,1.372
12/17/2022,,,0.02,1.626
12/18/2022,,,0.023,1.399
12/19/2022,,,0.01,0.432
12/20/2022,,,0.021,1.423
12/21/2022,,,0.021,1.111
12/22/2022,,,0.012,0.767
12/23/2022,,,0.015,1.138
12/24/2022,,,0.015,1.33
12/25/2022,,,0.008,0.926
12/26/2022,,,0.007,0.523
12/27/2022,,,0.004,0.28
12/28/2022,,,0.019,0.685
12/29/2022,,,0.007,0.36
12/30/2022,,,0.003,0.232
12/31/2022,,,,0.45
