time,SO2,O3,NO2,CO
1/1/2022,0.001,0.039,0.009,0.388
1/2/2022,0.001,0.029,0.014,0.716
1/3/2022,0.001,0.026,0.013,0.551
1/4/2022,0.001,0.025,0.012,0.431
1/5/2022,0.001,0.033,0.008,0.303
1/6/2022,0.001,0.026,0.007,0.349
1/7/2022,0.001,0.03,0.01,0.405
1/8/2022,0.001,0.031,0.013,0.493
1/9/2022,0.001,0.022,0.014,0.593
1/10/2022,0.001,0.031,0.017,0.552
1/11/2022,0.001,0.025,0.016,0.567
1/12/2022,0.002,0.034,0.023,0.654
1/13/2022,0.001,0.029,0.019,0.728
1/14/2022,0.001,0.03,0.018,0.719
1/15/2022,0.001,0.012,0.018,0.641
1/16/2022,0.002,0.038,0.018,0.667
1/17/2022,0.001,0.027,0.014,0.68
1/18/2022,0.001,0.032,0.012,0.585
1/19/2022,0.001,0.032,0.014,0.534
1/20/2022,0.001,0.039,0.022,0.75
1/21/2022,0.001,0.039,0.01,0.627
1/22/2022,0.001,0.043,0.012,0.534
1/23/2022,0.001,0.042,0.013,0.64
1/24/2022,0.001,0.033,0.019,0.77
1/25/2022,0.001,0.036,0.014,0.645
1/26/2022,0.001,0.045,0.021,0.854
1/27/2022,0.001,0.044,0.022,0.773
1/28/2022,0.002,0.042,0.022,0.823
1/29/2022,0.001,0.043,0.021,0.889
1/30/2022,0.002,0.044,0.024,0.981
1/31/2022,0.001,0.043,0.015,0.741
2/1/2022,0.001,0.043,0.007,0.558
2/2/2022,0.001,0.04,0.007,0.49
2/3/2022,0.001,0.039,0.02,0.59
2/4/2022,0.001,0.041,0.028,0.65
2/5/2022,0.002,0.039,0.021,0.569
2/6/2022,0.001,0.05,0.015,0.54
2/7/2022,0.001,0.051,0.018,0.524
2/8/2022,0.001,0.045,0.022,0.565
2/9/2022,0.001,0.044,0.014,0.59
2/10/2022,0.001,0.046,0.019,0.516
2/11/2022,0.001,0.057,0.023,0.595
2/12/2022,0.001,0.055,0.019,0.773
2/13/2022,0.002,0.047,0.016,0.695
2/14/2022,0.001,0.043,0.011,0.52
2/15/2022,0.001,0.041,0.004,0.343
2/16/2022,0,0.043,0.004,0.351
2/17/2022,0.001,0.045,0.012,0.548
2/18/2022,0.001,0.052,0.016,0.653
2/19/2022,0.002,0.053,0.015,0.742
2/20/2022,0.001,0.039,0.009,0.56
2/21/2022,0.001,0.042,0.004,0.444
2/22/2022,0.001,0.04,0.005,0.483
2/23/2022,0.001,0.04,0.008,0.534
2/24/2022,0.001,0.043,0.014,0.621
2/25/2022,0.001,0.046,0.013,0.704
2/26/2022,0.002,0.046,0.014,0.761
2/27/2022,0.001,0.05,0.016,0.823
2/28/2022,0.002,0.048,0.015,0.761
3/1/2022,0.001,0.042,0.012,0.67
3/2/2022,0.001,0.044,0.01,0.663
3/3/2022,0.001,0.034,0.011,0.671
3/4/2022,0.001,0.045,0.008,0.67
3/5/2022,0.001,0.045,0.007,0.705
3/6/2022,0.001,0.039,0.006,0.658
3/7/2022,0.001,0.045,0.006,0.615
3/8/2022,0.001,0.054,0.009,0.402
3/9/2022,0.001,0.046,0.013,0.391
3/10/2022,0.001,0.047,0.003,0.321
