time,SO2,O3,NO2,CO
1/1/2022,,0.035,,
1/2/2022,,0.037,,
1/3/2022,,0.04,,
1/4/2022,,0.034,,
1/5/2022,,0.032,,
1/6/2022,,0.02,,
1/7/2022,,0.031,,
1/8/2022,,0.03,,
1/9/2022,,0.034,,
1/10/2022,,0.038,,
1/11/2022,,0.03,,
1/12/2022,,,,
1/13/2022,,,,
1/14/2022,,,,
1/15/2022,,,,
1/16/2022,,,,
1/17/2022,,,,
1/18/2022,,,,
1/19/2022,,,,
1/20/2022,,0.023,,
1/21/2022,,,,
1/22/2022,,,,
1/23/2022,,,,
1/24/2022,,,,
1/25/2022,,,,
1/26/2022,,,,
1/27/2022,,,,
1/28/2022,,,,
1/29/2022,,,,
1/30/2022,,,,
1/31/2022,,,,
2/1/2022,,,,
2/2/2022,,,,
2/3/2022,,,,
2/4/2022,,,,
2/5/2022,,,,
2/6/2022,,,,
2/7/2022,,,,
2/8/2022,,,,
2/9/2022,,,,
2/10/2022,,,,
2/11/2022,,,,
2/12/2022,,,,
2/13/2022,,,,
2/14/2022,,,,
2/15/2022,,,,
2/16/2022,,,,
2/17/2022,,,,
2/18/2022,,,,
2/19/2022,,,,
2/20/2022,,,,
2/21/2022,,,,
2/22/2022,,,,
2/23/2022,,,,
2/24/2022,,,,
2/25/2022,,,,
2/26/2022,,,,
2/27/2022,,,,
2/28/2022,,,,
3/1/2022,,,,
3/2/2022,,,,
3/3/2022,,,,
3/4/2022,,,,
3/5/2022,,,,
3/6/2022,,,,
3/7/2022,,,,
3/8/2022,,,,
3/9/2022,,,,
3/10/2022,,,,
3/11/2022,,,,
3/12/2022,,,,
3/13/2022,,,,
3/14/2022,,,,
3/15/2022,,,,
3/16/2022,,,,
3/17/2022,,,,
3/18/2022,,0.05,,
3/19/2022,,0.045,,
3/20/2022,,0.046,,
3/21/2022,,0.045,,
3/22/2022,,0.052,,
3/23/2022,,0.049,,
3/24/2022,,0.061,,
3/25/2022,,0.054,,
3/26/2022,,0.051,,
3/27/2022,,0.042,,
3/28/2022,,0.037,,
3/29/2022,,0.046,,
3/30/2022,,0.035,,
3/31/2022,,0.044,,
4/1/2022,,0.053,,
4/2/2022,,0.048,,
4/3/2022,,0.051,,
4/4/2022,,0.044,,
4/5/2022,,0.048,,
4/6/2022,,0.048,,
4/7/2022,,0.064,,
4/8/2022,,0.063,,
4/9/2022,,0.048,,
4/10/2022,,0.046,,
4/11/2022,,0.037,,
4/12/2022,,0.042,,
4/13/2022,,0.05,,
4/14/2022,,0.041,,
4/15/2022,,0.047,,
4/16/2022,,0.035,,
4/17/2022,,0.054,,
4/18/2022,,0.051,,
4/19/2022,,0.051,,
4/20/2022,,0.05,,
4/21/2022,,0.048,,
4/22/2022,,0.05,,
4/23/2022,,0.045,,
4/24/2022,,0.056,,
4/25/2022,,0.061,,
4/26/2022,,0.065,,
4/27/2022,,0.057,,
4/28/2022,,0.06,,
4/29/2022,,0.059,,
4/30/2022,,0.054,,
5/1/2022,,0.05,,
5/2/2022,,0.055,,
5/3/2022,,0.045,,
5/4/2022,,0.064,,
5/5/2022,,0.047,,
5/6/2022,,0.042,,
5/7/2022,,0.048,,
5/8/2022,,0.046,,
5/9/2022,,0.048,,
5/10/2022,,0.04,,
5/11/2022,,0.047,,
5/12/2022,,0.053,,
5/13/2022,,0.052,,
5/14/2022,,0.042,,
5/15/2022,,0.047,,
5/16/2022,,0.055,,
5/17/2022,,0.058,,
5/18/2022,,0.061,,
5/19/2022,,0.056,,
5/20/2022,,0.059,,
5/21/2022,,0.061,,
5/22/2022,,0.053,,
5/23/2022,,0.054,,
5/24/2022,,0.064,,
5/25/2022,,0.073,,
5/26/2022,,0.056,,
5/27/2022,,0.046,,
5/28/2022,,0.041,,
5/29/2022,,0.044,,
5/30/2022,,0.049,,
5/31/2022,,0.046,,
6/1/2022,,0.067,,
6/2/2022,,0.054,,
6/3/2022,,0.043,,
6/4/2022,,0.055,,
6/5/2022,,0.035,,
6/6/2022,,0.061,,
6/7/2022,,0.069,,
6/8/2022,,0.052,,
6/9/2022,,0.059,,
6/10/2022,,0.051,,
6/11/2022,,0.044,,
6/12/2022,,0.032,,
