time,SO2,O3,NO2,CO
1/1/2022,,0.029,0.029,
1/2/2022,,0.031,0.032,
1/3/2022,,0.029,0.033,
1/4/2022,,0.027,0.03,
1/5/2022,,0.022,0.027,
1/6/2022,,0.029,0.029,
1/7/2022,,0.018,0.018,
1/8/2022,,0.024,0.019,
1/9/2022,,0.028,0.026,
1/10/2022,,0.012,0.026,
1/11/2022,,0.02,0.033,
1/12/2022,,0.03,0.034,
1/13/2022,,0.028,0.028,
1/14/2022,,0.023,0.024,
1/15/2022,,0.009,0.017,
1/16/2022,,0.029,0.03,
1/17/2022,,0.029,0.021,
1/18/2022,,0.035,0.027,
1/19/2022,,0.031,0.033,
1/20/2022,,0.032,0.032,
1/21/2022,,0.017,0.022,
1/22/2022,,0.034,0.029,
1/23/2022,,0.037,0.03,
1/24/2022,,0.036,0.034,
1/25/2022,,0.033,0.034,
1/26/2022,,0.039,0.037,
1/27/2022,,0.039,0.041,
1/28/2022,,0.038,0.04,
1/29/2022,,0.035,0.039,
1/30/2022,,0.041,0.035,
1/31/2022,,0.033,0.029,
2/1/2022,,0.026,0.03,
2/2/2022,,0.03,0.033,
2/3/2022,,0.033,0.036,
2/4/2022,,0.039,0.029,
2/5/2022,,0.034,0.031,
2/6/2022,,0.042,0.032,
2/7/2022,,0.04,0.024,
2/8/2022,,0.04,0.03,
2/9/2022,,0.039,0.026,
2/10/2022,,0.049,0,
2/11/2022,,0.049,,
2/12/2022,,0.05,,
2/13/2022,,0.053,,
2/14/2022,,0.049,,
2/15/2022,,0.033,,
2/16/2022,,0.035,,
2/17/2022,,0.042,,
2/18/2022,,0.043,,
2/19/2022,,0.045,,
2/20/2022,,0.045,,
2/21/2022,,0.034,,
2/22/2022,,0.034,,
2/23/2022,,0.031,,
2/24/2022,,0.037,,
2/25/2022,,,,
2/26/2022,,,,
2/27/2022,,,,
2/28/2022,,,,
3/1/2022,,,,
3/2/2022,,0.046,,
3/3/2022,,0.041,,
3/4/2022,,0.035,,
3/5/2022,,0.035,,
3/6/2022,,0.033,,
3/7/2022,,0.039,,
3/8/2022,,0.043,,
3/9/2022,,0.045,,
3/10/2022,,0.04,,
3/11/2022,,0.045,,
3/12/2022,,0.05,,
3/13/2022,,0.039,,
3/14/2022,,0.047,,
3/15/2022,,0.036,,
3/16/2022,,0.037,,
3/17/2022,,0.041,0.012,
3/18/2022,,0.045,0.035,
3/19/2022,,0.033,0.018,
3/20/2022,,0.032,0.015,
3/21/2022,,0.043,0.031,
3/22/2022,,0.051,0.029,
3/23/2022,,0.05,0.022,
3/24/2022,,0.053,0.02,
3/25/2022,,0.055,0.015,
3/26/2022,,0.059,0.012,
3/27/2022,,0.043,0.008,
3/28/2022,,0.036,0.007,
3/29/2022,,0.034,0.015,
3/30/2022,,0.038,0.02,
3/31/2022,,0.032,0.024,
4/1/2022,,0.045,0.03,
4/2/2022,,0.044,0.027,
4/3/2022,,0.048,0.011,
4/4/2022,,0.04,0.006,
4/5/2022,,0.045,0.01,
4/6/2022,,0.051,0.026,
4/7/2022,,0.06,0.023,
4/8/2022,,0.059,0.018,
4/9/2022,,0.044,0.006,
4/10/2022,,0.041,0.004,
4/11/2022,,0.044,0.004,
4/12/2022,,0.044,0.004,
4/13/2022,,0.05,0.005,
4/14/2022,,0.039,0.008,
4/15/2022,,0.034,0.01,
4/16/2022,,0.035,0.011,
4/17/2022,,0.045,0.012,
4/18/2022,,0.047,0.008,
4/19/2022,,0.037,0.005,
4/20/2022,,0.043,0.007,
4/21/2022,,0.036,0.007,
4/22/2022,,0.042,0.007,
4/23/2022,,0.041,0.011,
4/24/2022,,0.048,0.02,
4/25/2022,,0.056,0.017,
4/26/2022,,0.052,0.005,
4/27/2022,,0.056,0.007,
4/28/2022,,0.051,0.005,
4/29/2022,,0.048,0.009,
4/30/2022,,0.045,0.016,
5/1/2022,,0.05,0.008,
5/2/2022,,0.044,0.014,
5/3/2022,,0.046,0.022,
5/4/2022,,0.056,0.023,
5/5/2022,,0.055,0.024,
5/6/2022,,0.043,0.003,
5/7/2022,,0.044,0.002,
5/8/2022,,0.048,0.003,
5/9/2022,,0.046,0.003,
5/10/2022,,0.042,0.006,
5/11/2022,,0.044,0.005,
5/12/2022,,0.047,0.007,
5/13/2022,,0.048,0.006,
5/14/2022,,0.054,0.01,
5/15/2022,,0.045,0.01,
5/16/2022,,0.052,0.004,
5/17/2022,,0.049,0.007,
5/18/2022,,0.06,0.022,
5/19/2022,,0.052,0.014,
5/20/2022,,0.052,0.008,
5/21/2022,,0.055,0.013,
5/22/2022,,0.049,0.006,
5/23/2022,,0.053,0.01,
5/24/2022,,0.059,0.011,
5/25/2022,,0.069,0.017,
5/26/2022,,0.064,0.013,
5/27/2022,,0.046,0.004,
