time,SO2,O3,NO2,CO
1/1/2022,0,0.024,0.01,0.7
1/2/2022,,0.03,0.004,0.5
1/3/2022,0,0.032,0.001,0.2
1/4/2022,0,0.03,0.002,0.2
1/5/2022,0,0.023,0.015,0.4
1/6/2022,0,0.023,0.01,0.2
1/7/2022,0,0.029,,0.5
1/8/2022,0,0.021,,0.5
1/9/2022,0,0.021,,0.6
1/10/2022,0,0.026,0.008,0.6
1/11/2022,0,0.027,0.015,0.6
1/12/2022,0,0.022,0.011,0.5
1/13/2022,0,0.035,0.012,0.4
1/14/2022,0,0.02,0.008,0.4
1/15/2022,0,0.016,0.01,0.6
1/16/2022,0,0.017,0.006,0.5
1/17/2022,0,0.02,0.011,0.4
1/18/2022,0,0.017,0.009,0.6
1/19/2022,0,0.018,0.01,0.5
1/20/2022,0,0.026,0.005,0.3
1/21/2022,0,0.02,0.012,0.6
1/22/2022,0.001,0.035,0.012,0.5
1/23/2022,0.001,0.025,0.015,0.5
1/24/2022,0.001,0.025,0.027,0.8
1/25/2022,0,0.02,0.007,0.3
1/26/2022,0.001,0.02,0.01,0.5
1/27/2022,0.001,0.019,0.012,0.6
1/28/2022,0.001,0.025,0.015,0.7
1/29/2022,0.001,0.028,0.013,0.6
1/30/2022,0,0.025,0.007,0.4
1/31/2022,0,0.034,0.004,0.3
2/1/2022,0.001,0.031,0.008,0.3
2/2/2022,0.001,0.031,0.009,0.2
2/3/2022,0,0.026,0.009,0.3
2/4/2022,0,0.023,0.007,0.4
2/5/2022,0.001,0.021,0.006,0.6
2/6/2022,0.001,0.02,0.007,0.5
2/7/2022,0.001,0.023,0.005,0.2
2/8/2022,0.001,0.02,0.011,0.6
2/9/2022,0.001,0.028,0.008,0.5
2/10/2022,0.001,0.025,0.014,0.6
2/11/2022,0.001,0.021,0.014,0.6
2/12/2022,0.001,0.022,0.007,0.4
2/13/2022,0.001,0.026,0.006,0.3
2/14/2022,0,0.034,0.003,0.2
2/15/2022,0.001,0.029,0.01,0.3
2/16/2022,0.001,0.03,0.004,0.2
2/17/2022,0.001,0.022,0.007,0.3
2/18/2022,0.001,0.022,0.003,0.2
2/19/2022,0.001,0.027,0.004,0.3
2/20/2022,0.001,0.034,0.004,0.2
2/21/2022,0.001,0.033,0.011,0.4
2/22/2022,0.001,0.031,0.007,0.6
2/23/2022,0.001,0.03,0.009,0.6
2/24/2022,0.001,0.027,0.009,0.5
2/25/2022,0.001,0.029,0.01,0.5
2/26/2022,0.001,0.034,0.01,0.5
2/27/2022,0.001,0.034,0.003,0.2
2/28/2022,0.001,0.028,0.014,0.4
3/1/2022,0.001,0.024,0.008,0.2
3/2/2022,0.001,0.033,0.004,0.2
3/3/2022,0.001,0.036,0.003,0.1
3/4/2022,0.001,0.039,0.003,0.2
3/5/2022,0.001,0.028,0.006,0.3
3/6/2022,0.001,0.027,0.006,0.3
3/7/2022,0.001,0.026,0.009,0.4
3/8/2022,0.001,0.035,0.007,0.3
3/9/2022,0.001,0.038,0.007,0.2
3/10/2022,0.001,0.03,0.006,0.3
3/11/2022,0.001,0.027,0.007,0.3
3/12/2022,0.001,0.036,0.003,0.2
3/13/2022,0.001,0.037,0.004,0.3
3/14/2022,0.001,0.036,0.006,0.3
3/15/2022,0.001,0.032,0.006,0.4
3/16/2022,0.001,0.031,0.005,0.4
3/17/2022,0.001,0.032,0.006,0.2
3/18/2022,0.001,0.03,0.007,0.3
3/19/2022,0.001,0.035,0.004,0.2
3/20/2022,0.001,0.032,0.006,0.3
3/21/2022,0.001,0.031,0.006,0.3
3/22/2022,0.001,0.024,0.003,0.2
3/23/2022,0.001,0.028,0.008,0.2
3/24/2022,0.001,0.026,0.002,0.1
3/25/2022,0.001,0.028,0.006,0.3
3/26/2022,0.001,0.025,0.005,0.2
3/27/2022,0.001,0.023,0.003,0.2
3/28/2022,0.001,0.025,0.004,0.2
3/29/2022,0.001,0.029,0.003,0.1
3/30/2022,0.001,0.035,0.003,0.2
3/31/2022,0.001,0.031,0.01,0.4
4/1/2022,0.001,0.03,0.007,0.2
4/2/2022,0.001,0.035,0.005,0.3
4/3/2022,0.001,0.031,0.004,0.3
4/4/2022,0.001,0.027,0.005,0.5
4/5/2022,0.001,0.032,0.006,0.5
4/6/2022,0.001,0.026,0.008,0.3
4/7/2022,0.001,0.027,0.009,0.4
4/8/2022,0.001,0.036,0.004,0.2
4/9/2022,0.001,0.033,0.001,0.2
4/10/2022,0.001,0.033,0.002,0.2
4/11/2022,0.001,0.034,0.002,0.2
4/12/2022,0.001,0.035,0.003,0.2
4/13/2022,0.001,0.027,0.002,0.2
4/14/2022,0.001,0.033,0.005,0.4
4/15/2022,0.001,0.034,0.006,0.3
4/16/2022,0.001,0.034,0.003,0.3
4/17/2022,0.001,0.034,0.004,0.3
4/18/2022,0.001,0.034,0.003,0.4
4/19/2022,0.001,0.031,0.003,0.3
4/20/2022,0.001,0.033,0.001,0.2
4/21/2022,0.001,0.036,0.002,0.3
4/22/2022,0.001,0.028,0.003,0.2
4/23/2022,0.001,0.029,0.002,0.2
4/24/2022,0.001,0.028,0.003,0.2
4/25/2022,0.001,0.031,0.007,0.2
4/26/2022,0.001,0.031,0.006,0.2
4/27/2022,0.001,0.033,0.008,0.2
4/28/2022,0.001,0.036,0.004,0.2
4/29/2022,0.001,0.037,0.005,0.2
4/30/2022,0.001,0.039,0.002,0.2
5/1/2022,0.001,0.031,0.001,0.2
5/2/2022,0.001,0.034,0.004,0.3
5/3/2022,0.001,0.029,0.005,0.3
5/4/2022,0.001,0.026,0.003,0.2
5/5/2022,0.001,0.025,0.004,0.2
5/6/2022,0.001,0.026,0.003,0.5
5/7/2022,0.001,0.031,0.001,0.2
5/8/2022,0.001,0.032,0.002,0.3
5/9/2022,0.001,0.032,0.004,0.3
5/10/2022,0.001,0.031,0.004,0.3
5/11/2022,0.001,0.029,0.003,0.3
5/12/2022,0.001,0.031,0.001,0.3
5/13/2022,0.001,0.024,0.001,0.3
5/14/2022,0.001,0.022,0.002,0.3
5/15/2022,0,0.022,0.001,0.3
5/16/2022,0.001,0.034,0.002,0.3
5/17/2022,0.001,0.034,0.002,0.3
5/18/2022,0.001,0.031,0.005,0.3
5/19/2022,0,0.031,0.002,0.3
5/20/2022,0,0.028,0.002,0.3
5/21/2022,0,0.029,0.003,0.3
5/22/2022,0,0.025,0.002,0.3
5/23/2022,0,0.027,0.003,0.4
5/24/2022,0,0.026,0.003,0.1
5/25/2022,0,0.022,0.004,0.1
5/26/2022,0,0.022,0.004,0.1
5/27/2022,0,0.02,0.003,0.1
5/28/2022,0,0.026,0.002,0.1
5/29/2022,0,0.031,0.001,0.1
5/30/2022,0,0.029,0.002,0.1
5/31/2022,0,0.026,0.002,0.1
6/1/2022,0,0.025,0.002,0.1
6/2/2022,0,0.024,0.002,0.2
6/3/2022,0,0.021,0.003,0.2
6/4/2022,0,0.032,0.002,0.2
6/5/2022,0,0.022,0.002,0.1
6/6/2022,0,0.022,0.005,0.1
6/7/2022,0,0.022,0.002,0.1
6/8/2022,0,0.027,0.004,0.1
6/9/2022,0,0.032,0.002,0.2
6/10/2022,0,0.017,0.003,0.1
6/11/2022,0,0.015,0.002,0.1
6/12/2022,0,0.03,0.001,0.1
6/13/2022,0,0.029,0.001,0.1
6/14/2022,0,0.031,0.003,0.1
6/15/2022,0,0.028,0.002,0.1
6/16/2022,0,0.031,0.003,0.1
6/17/2022,0,0.03,0.002,0.2
6/18/2022,0,0.027,0.002,0.1
6/19/2022,0,0.025,0.001,0.1
6/20/2022,0,0.023,0.002,0.1
6/21/2022,0,0.022,0.003,0.2
6/22/2022,0,0.023,0.005,0.2
6/23/2022,0,0.024,0.002,0.1
6/24/2022,0,0.025,0.002,0.2
6/25/2022,0,0.023,0.003,0.2
6/26/2022,0,0.023,0.001,0.2
6/27/2022,0,0.023,0.002,0.2
6/28/2022,0,0.023,0.004,0.2
6/29/2022,0,0.025,0.003,0.2
6/30/2022,0,0.023,0.002,0.3
7/1/2022,0,0.021,0.002,0.1
7/2/2022,0,0.02,0.001,0.1
7/3/2022,0,0.024,0.002,0.1
7/4/2022,0,0.017,0.004,0.2
7/5/2022,0,0.015,0.003,0.1
7/6/2022,0,0.021,0.003,0.1
7/7/2022,0,0.017,0.002,0.1
7/8/2022,0,0.015,0.002,0.1
7/9/2022,0,0.017,0.001,0.1
7/10/2022,0,0.016,0.004,0.1
7/11/2022,0,0.019,0.003,0.2
7/12/2022,0,0.017,0.001,0.1
7/13/2022,0,0.021,0.002,0.1
7/14/2022,0,0.02,0.003,0.1
7/15/2022,0,0.017,0.003,0.2
7/16/2022,0,0.017,0.002,0.1
7/17/2022,0,0.02,0.002,0.2
7/18/2022,0,0.019,0.002,0.2
7/19/2022,0,0.017,0.001,0.2
7/20/2022,0,0.018,0.002,0.2
7/21/2022,0,0.02,0.002,0.2
7/22/2022,0,0.023,0.003,0.2
7/23/2022,0,0.023,0.002,0.3
7/24/2022,0,0.021,0.001,0.2
7/25/2022,0,0.019,0.002,0.2
7/26/2022,0,0.02,0.003,0.2
7/27/2022,0,0.019,0.004,0.1
7/28/2022,0,0.016,0.002,0.1
7/29/2022,0,0.015,0.002,0.1
7/30/2022,0,0.018,0.001,0.1
7/31/2022,0,0.018,0.001,0.1
8/1/2022,0,0.02,0.002,0.1
8/2/2022,0,0.016,0.005,0.1
8/3/2022,0,0.02,0.002,0.1
8/4/2022,0.001,0.019,0.004,0.1
8/5/2022,0.001,0.021,0.001,0.2
8/6/2022,0,0.019,0.002,0.2
8/7/2022,0,0.021,0.002,0.2
8/8/2022,0,0.022,0.003,0.2
8/9/2022,0,0.02,0.003,0.2
8/10/2022,0.001,0.02,0.002,0.2
8/11/2022,0,0.02,0.002,0.2
8/12/2022,0.001,0.025,0.004,0.1
8/13/2022,0.001,0.027,0.002,0.1
8/14/2022,0,0.023,0.001,0.1
8/15/2022,0.001,0.02,0.003,0.1
8/16/2022,0.001,0.019,0.002,0.1
8/17/2022,0.001,0.017,0.001,0.1
8/18/2022,0.001,0.018,0.001,0.1
8/19/2022,0.001,0.014,0.003,0.1
8/20/2022,0.001,0.018,0.002,0.1
8/21/2022,0.001,0.018,0.002,0.1
8/22/2022,0.001,0.016,0.002,0.2
8/23/2022,0.001,0.02,0.003,0.1
8/24/2022,0.001,0.02,0.003,0.1
8/25/2022,0,0.018,0.004,0.1
8/26/2022,0.001,0.015,0.002,0.1
8/27/2022,0.001,0.022,0.001,0.1
8/28/2022,0.001,0.019,0.002,0.1
8/29/2022,0.001,0.024,0.002,0.2
8/30/2022,0.001,0.029,0.003,0.2
8/31/2022,0.001,0.028,0.002,0.2
9/1/2022,0.001,0.022,0.002,0.2
9/2/2022,0.001,0.027,0.003,0.2
9/3/2022,0.001,0.021,0.002,0.2
9/4/2022,0.001,0.016,0.001,0.1
9/5/2022,0.001,0.024,0.003,0.2
9/6/2022,0.001,0.028,0.003,0.2
9/7/2022,0.001,0.023,0.003,0.2
9/8/2022,0.001,0.026,0.003,0.2
9/9/2022,0.001,0.025,0.007,0.4
9/10/2022,0.001,0.031,0.003,0.3
9/11/2022,0.001,0.025,0.004,0.3
9/12/2022,0.001,0.026,0.005,0.3
9/13/2022,0.001,0.021,0.004,0.2
9/14/2022,0.001,0.025,0.005,0.1
9/15/2022,0.001,0.023,0.003,0.1
9/16/2022,0.001,0.03,0.003,0.1
9/17/2022,0.001,0.029,0.002,0.2
9/18/2022,0.001,0.019,0.003,0.2
9/19/2022,0.001,0.026,0.003,0.2
9/20/2022,0.001,0.027,0.004,0.2
9/21/2022,0.001,0.027,0.003,0.2
9/22/2022,0.001,0.025,0.003,0.2
9/23/2022,0.001,0.021,0.003,0.2
9/24/2022,0.001,0.019,0.003,0.3
9/25/2022,0.001,0.026,0.002,0.2
9/26/2022,0.001,0.027,0.002,0.2
9/27/2022,0.001,0.031,0.004,0.2
9/28/2022,0.001,0.03,0.006,0.2
9/29/2022,0.001,0.031,0.007,0.2
9/30/2022,0,0.024,0.005,0.2
10/1/2022,0,0.025,0.002,0.1
10/2/2022,0,0.029,0.002,0.1
10/3/2022,0,0.029,0.003,0.1
10/4/2022,0,0.029,0.002,0.1
10/5/2022,0,0.018,0.003,0.2
10/6/2022,0,0.015,,0.2
10/7/2022,0,0.02,,0.2
10/8/2022,0.001,0.018,,0.2
10/9/2022,0.001,0.02,,0.2
10/10/2022,0.001,0.021,,0.3
10/11/2022,0.001,0.017,,0.2
10/12/2022,0.001,0.023,0.002,0.1
10/13/2022,0,0.018,0.006,0.1
10/14/2022,0,0.021,0.006,0.2
10/15/2022,0,0.025,0.003,0.2
10/16/2022,0,0.029,0.004,0.1
10/17/2022,0,0.023,0.008,0.2
10/18/2022,0,0.02,0.005,1.9
10/19/2022,0,0.024,0.007,0.2
10/20/2022,0,0.023,0.007,0.3
10/21/2022,0,0.029,0.005,0.3
10/22/2022,0,0.033,0.005,0.2
10/23/2022,0,0.028,0.006,0.2
10/24/2022,0,0.026,0.007,0.3
10/25/2022,0,0.024,0.007,0.3
10/26/2022,0.001,0.026,0.005,0.3
10/27/2022,0.001,0.023,0.008,0.4
10/28/2022,0.001,0.033,0.014,0.4
