time,SO2,O3,NO2,CO
1/1/2022,0,0.043,0.024,0.677
1/2/2022,0,0.042,0.018,0.514
1/3/2022,0.001,0.04,0.031,1.966
1/4/2022,0.001,0.039,0.037,2.455
1/5/2022,0.001,0.041,0.04,2.472
1/6/2022,0.001,0.044,0.036,1.419
1/7/2022,0.006,0.038,0.046,1.776
1/8/2022,0.002,0.047,0.034,3.614
1/9/2022,0.002,0.042,0.021,0.559
1/10/2022,0,0.037,0.025,0.338
1/11/2022,0.001,0.039,0.039,1.301
1/12/2022,0.001,0.036,0.035,1.704
1/13/2022,0.001,0.036,0.036,1.291
1/14/2022,0.002,0.038,0.034,2.206
1/15/2022,0,0.037,0.024,0.566
1/16/2022,0.001,0.043,0.031,1.712
1/17/2022,0.006,0.047,0.045,3.654
1/18/2022,0.002,0.031,0.032,1.077
1/19/2022,0,0.038,0.031,0.866
1/20/2022,0.001,0.04,0.032,2.533
1/21/2022,0.002,0.04,0.049,2.366
1/22/2022,0,0.036,0.01,0.326
1/23/2022,0.001,0.042,0.034,1.591
1/24/2022,0.002,0.04,0.041,1.936
1/25/2022,0.002,0.041,0.036,0.763
1/26/2022,0,0.041,0.036,0.89
1/27/2022,0.001,0.047,0.037,0.9
1/28/2022,0.001,0.042,0.025,1.181
1/29/2022,0,0.04,0.025,0.718
1/30/2022,0.002,0.046,0.036,3.152
1/31/2022,0.002,0.043,0.047,3.625
2/1/2022,0.002,0.044,0.039,0.777
2/2/2022,0,0.042,0.018,0.389
2/3/2022,0,0.041,0.034,1.031
2/4/2022,0.001,0.041,0.023,0.875
2/5/2022,0.002,0.047,0.042,1.96
2/6/2022,0,0.044,0.021,0.624
2/7/2022,0.001,0.044,0.033,0.976
2/8/2022,0.001,0.044,0.037,1.259
2/9/2022,0.001,0.045,0.038,0.626
2/10/2022,0,0.04,0.024,0.491
2/11/2022,0.001,0.044,0.04,2.392
2/12/2022,0,0.043,0.023,
2/13/2022,0.001,0.043,0.032,
2/14/2022,0.002,0.045,0.051,
2/15/2022,0.001,0.044,0.016,
2/16/2022,0,0.044,0.03,
2/17/2022,0,0.037,0.031,
2/18/2022,0.001,0.041,0.039,
2/19/2022,0,0.043,0.028,
2/20/2022,0.001,0.05,0.02,
2/21/2022,0.002,0.045,0.027,
2/22/2022,0,0.043,0.018,
2/23/2022,0,0.041,0.006,
2/24/2022,0,0.041,0.031,
2/25/2022,0.001,0.043,0.041,
2/26/2022,0,0.043,0.029,
2/27/2022,0,0.043,0.021,
2/28/2022,0.001,0.043,0.039,
3/1/2022,0.001,0.045,0.049,
3/2/2022,0.003,0.058,0.049,
3/3/2022,0.007,0.045,0.037,
3/4/2022,0,0.041,0.028,
3/5/2022,0.001,0.047,0.011,
3/6/2022,0,0.043,0.04,
3/7/2022,0,0.041,0.017,0.243
3/8/2022,0.002,0.043,0.045,2.08
3/9/2022,0.002,0.053,0.036,1.759
3/10/2022,0,0.049,0.015,0.287
3/11/2022,0.001,0.048,0.045,1.237
3/12/2022,0.001,0.049,0.034,1.571
3/13/2022,0.001,0.057,0.03,1.439
3/14/2022,0.001,0.053,0.032,1.144
3/15/2022,0.002,0.058,0.049,1.566
3/16/2022,0,0.049,0.014,0.289
3/17/2022,0.001,0.052,0.039,1.859
3/18/2022,0.002,0.058,0.055,3.008
3/19/2022,0.004,0.06,0.044,2.187
3/20/2022,0,0.044,0.002,0.177
3/21/2022,0,0.048,0.018,0.446
3/22/2022,0.001,0.044,0.018,0.712
3/23/2022,0.001,0.051,0.038,1.321
3/24/2022,0.003,0.073,0.06,2.234
3/25/2022,0.001,0.07,0.039,1.822
3/26/2022,0.006,0.057,0.051,1.469
3/27/2022,0.003,0.051,0.026,0.629
3/28/2022,0.001,0.047,0.008,0.254
3/29/2022,0,0.048,0.006,0.185
3/30/2022,0.002,0.047,0.03,1.152
3/31/2022,0,0.048,0.017,0.556
4/1/2022,0.002,0.062,0.035,1.208
4/2/2022,0.003,0.069,0.03,0.33
4/3/2022,0.001,0.057,0.023,0.418
4/4/2022,0.003,0.077,0.03,0.529
4/5/2022,0.003,0.066,0.025,0.51
4/6/2022,0.001,0.047,0.016,0.489
4/7/2022,0,0.048,0.024,0.396
4/8/2022,0.001,0.047,0.042,1.49
4/9/2022,0.005,0.055,0.039,1.742
4/10/2022,0.003,0.062,0.019,0.37
4/11/2022,0.002,0.053,0.017,0.311
4/12/2022,0,0.051,0.01,0.255
4/13/2022,0.001,0.068,0.04,0.619
4/14/2022,0.003,0.07,0.04,1.053
4/15/2022,0.004,0.059,0.023,0.579
4/16/2022,0.001,0.043,0.006,0.247
4/17/2022,0,0.067,0.038,0.945
4/18/2022,0,0.065,0.027,0.517
4/19/2022,0,0.055,0.007,0.231
4/20/2022,0,0.056,0.004,0.225
4/21/2022,0.002,0.046,0.027,0.627
4/22/2022,0,0.049,0.003,0.205
4/23/2022,0.001,0.052,0.013,0.325
4/24/2022,0,0.049,0.021,0.448
4/25/2022,0,0.056,0.028,0.546
4/26/2022,0.001,0.066,0.022,0.481
4/27/2022,0.002,0.066,0.04,1
4/28/2022,0.001,0.073,0.016,0.433
4/29/2022,0.001,0.064,0.046,0.992
4/30/2022,0.001,0.082,0.032,0.816
5/1/2022,0.003,0.064,0.013,0.297
5/2/2022,0.001,0.066,0.026,0.735
5/3/2022,0.004,0.065,0.035,0.548
5/4/2022,0.001,0.051,0.036,2.007
5/5/2022,0.001,0.075,0.03,0.717
5/6/2022,0.003,0.064,0.027,0.685
5/7/2022,0.003,0.069,0.017,0.377
5/8/2022,0,0.068,0.002,0.171
5/9/2022,0,0.059,0.005,0.222
5/10/2022,0,0.053,0.007,0.206
5/11/2022,0,0.057,0.005,0.257
5/12/2022,0.001,0.056,0.041,1.238
5/13/2022,0.001,0.056,0.041,1.225
5/14/2022,0,0.06,0.028,0.642
5/15/2022,0.002,0.072,0.013,0.302
5/16/2022,0.003,0.079,0.029,0.527
5/17/2022,0.002,0.06,0.021,0.493
5/18/2022,0.003,0.062,0.043,0.789
5/19/2022,0.004,0.068,0.013,0.388
5/20/2022,0.003,0.077,0.012,0.288
5/21/2022,0.001,0.062,0.01,0.215
5/22/2022,0.001,0.066,0.009,0.232
5/23/2022,0.003,0.071,0.018,0.403
5/24/2022,0.003,0.075,0.022,0.39
5/25/2022,0.002,0.066,0.018,0.308
5/26/2022,0.003,0.057,0.018,0.378
5/27/2022,0.001,0.064,0.02,0.396
5/28/2022,0.002,0.071,0.013,0.265
5/29/2022,0,0.056,0.004,0.186
5/30/2022,0,0.068,0.006,0.188
5/31/2022,0.001,0.062,0.029,0.544
6/1/2022,0,0.064,0.025,0.416
6/2/2022,0.002,0.07,0.027,0.544
6/3/2022,0.002,0.066,0.023,0.374
6/4/2022,0.002,0.061,0.021,0.291
6/5/2022,0.002,0.057,0.029,0.394
6/6/2022,0.002,0.075,0.018,0.432
6/7/2022,0.002,0.073,0.021,0.391
6/8/2022,0.005,0.057,0.013,0.295
6/9/2022,0.004,0.045,0.024,0.351
6/10/2022,0.003,0.089,0.025,0.348
6/11/2022,0.004,0.09,0.022,0.324
6/12/2022,0.004,0.069,0.016,0.362
6/13/2022,0,0.064,0.004,0.143
6/14/2022,0.001,0.075,0.016,0.333
6/15/2022,0.004,0.079,0.037,0.489
6/16/2022,0.005,0.076,0.034,0.503
6/17/2022,0.002,0.077,0.021,0.436
6/18/2022,0.002,0.069,0.013,0.344
6/19/2022,0,0.061,0.012,0.291
6/20/2022,0,0.069,0.028,0.485
6/21/2022,0.004,0.06,0.041,0.76
6/22/2022,0.002,0.066,0.017,0.339
6/23/2022,0,0.064,0.01,0.273
6/24/2022,0.002,0.054,0.017,0.32
6/25/2022,0.001,0.057,0.017,0.331
6/26/2022,0.001,0.036,0.007,0.157
6/27/2022,0.001,0.06,0.02,0.376
6/28/2022,0.002,0.059,0.024,0.393
6/29/2022,0.002,0.082,0.023,0.32
6/30/2022,0.001,0.061,0.017,0.337
