time,SO2,O3,NO2,CO
1/1/2022,0,0.045,,0.166
1/2/2022,0,0.041,,0.137
1/3/2022,0,0.04,,0.122
1/4/2022,0,0.037,,0.148
1/5/2022,0,0.039,,0.131
1/6/2022,0,0.039,,0.211
1/7/2022,0,0.038,,0.11
1/8/2022,0,0.043,,0.153
1/9/2022,0,0.04,,0.131
1/10/2022,0,0.04,,0.129
1/11/2022,0,0.043,,0.14
1/12/2022,0,0.042,,0.125
1/13/2022,0,0.039,,0.123
1/14/2022,0,0.041,,0.123
1/15/2022,0,0.041,,0.113
1/16/2022,0,0.043,,0.119
1/17/2022,0,0.044,,0.118
1/18/2022,0,0.04,,0.108
1/19/2022,0,0.044,,0.126
1/20/2022,0,0.043,,0.117
1/21/2022,0,0.041,,0.119
1/22/2022,0,0.04,,0.115
1/23/2022,0,0.044,,0.128
1/24/2022,0,0.04,,0.117
1/25/2022,0,0.045,,0.114
1/26/2022,0,0.047,,0.126
1/27/2022,0,0.046,,0.118
1/28/2022,0,0.045,,0.125
1/29/2022,0,0.044,,0.13
1/30/2022,0,0.044,,0.113
1/31/2022,0,0.043,,0.136
2/1/2022,0,0.042,,0.112
2/2/2022,0,0.046,,0.124
2/3/2022,0,0.047,,0.131
2/4/2022,0,0.044,,0.125
2/5/2022,0,0.048,,0.125
2/6/2022,0,0.045,,0.123
2/7/2022,0,0.043,,0.117
2/8/2022,0,0.045,,0.115
2/9/2022,0,0.044,,0.136
2/10/2022,0,0.042,,0.135
2/11/2022,0,0.041,,0.127
2/12/2022,0,0.044,,0.125
2/13/2022,0,0.046,,0.122
2/14/2022,0,0.046,,0.113
2/15/2022,0,0.05,,0.143
2/16/2022,0,0.044,,0.125
2/17/2022,0,0.045,,0.178
2/18/2022,0,0.046,,0.127
2/19/2022,0,0.044,,0.126
2/20/2022,0,0.041,,0.118
2/21/2022,0,0.051,,0.127
2/22/2022,0,0.049,,0.12
2/23/2022,0,0.04,,0.128
2/24/2022,0,0.044,,0.144
2/25/2022,0,0.046,,0.156
2/26/2022,0,0.047,,0.121
2/27/2022,0,0.045,,0.129
2/28/2022,0,0.046,,0.127
3/1/2022,0,0.045,,0.138
3/2/2022,0,0.045,,0.138
3/3/2022,0,0.051,,0.137
3/4/2022,0,0.045,,0.171
3/5/2022,0,0.049,,0.157
3/6/2022,0,0.047,,0.121
3/7/2022,0,0.049,,0.131
3/8/2022,0,0.044,,0.141
3/9/2022,0,0.042,,0.133
3/10/2022,0,0.049,,0.138
3/11/2022,0,0.049,,0.149
3/12/2022,0,0.045,,0.137
3/13/2022,0,0.059,,0.117
3/14/2022,0,0.052,,0.105
3/15/2022,0,0.043,,0.131
3/16/2022,0,0.048,,0.134
3/17/2022,0,0.051,,0.148
3/18/2022,0,0.052,,0.133
3/19/2022,0,0.054,,0.132
3/20/2022,0,0.049,,0.137
3/21/2022,0,0.047,,0.126
3/22/2022,0,0.04,,0.122
3/23/2022,0,0.037,,0.119
3/24/2022,0,0.038,,0.115
3/25/2022,0,0.05,,0.135
3/26/2022,0,0.051,,0.115
3/27/2022,0,0.049,,0.116
3/28/2022,0,0.044,,0.131
3/29/2022,0,0.039,,0.132
3/30/2022,0,0.049,,0.123
3/31/2022,0,0.044,,0.115
4/1/2022,0,0.043,,0.125
4/2/2022,0,0.047,,0.123
4/3/2022,0,0.051,,0.145
4/4/2022,0,0.048,,0.144
4/5/2022,0,0.043,,0.113
4/6/2022,0,0.053,,0.116
4/7/2022,0,0.048,,0.118
4/8/2022,0,0.053,,0.126
4/9/2022,0,0.046,,0.135
4/10/2022,0,0.046,,0.14
4/11/2022,0,0.053,,0.106
4/12/2022,0,0.053,,0.152
4/13/2022,0,0.055,,0.136
4/14/2022,0,0.046,,0.121
4/15/2022,0,0.046,,0.135
4/16/2022,0,0.046,,0.134
4/17/2022,0,0.049,,0.125
