time,SO2,O3,NO2,CO
1/1/2022,,0.035,0.024,0.554
1/2/2022,,0.036,0.03,0.729
1/3/2022,,0.03,0.035,0.964
1/4/2022,,0.036,0.038,0.802
1/5/2022,,0.036,0.033,1.101
1/6/2022,,0.035,0.034,0.592
1/7/2022,,0.002,0.029,0.997
1/8/2022,,0.031,0.036,1.184
1/9/2022,,0.022,0.021,0.499
1/10/2022,,0.016,0.03,0.902
1/11/2022,,0.027,0.035,1.065
1/12/2022,,0.026,0.039,0.77
1/13/2022,,0.021,0.033,1.056
1/14/2022,,0.025,0.024,0.843
1/15/2022,,0.009,0.017,0.676
1/16/2022,,0.035,0.033,1.587
1/17/2022,,0.032,0.025,0.654
1/18/2022,,0.04,0.033,0.572
1/19/2022,,0.037,0.038,0.93
1/20/2022,,0.036,0.029,0.862
1/21/2022,,0.027,0.026,0.991
1/22/2022,,0.036,0.034,0.69
1/23/2022,,0.037,0.026,0.922
1/24/2022,,0.037,0.039,0.629
1/25/2022,,0.044,0.037,0.641
1/26/2022,,0.042,0.032,0.601
1/27/2022,,0.039,0.033,0.698
1/28/2022,,0.048,0.034,0.828
1/29/2022,,0.025,0.032,0.467
1/30/2022,,0.047,0.033,
1/31/2022,,0.04,0.039,
2/1/2022,,0.026,0.035,1.114
2/2/2022,,0.032,0.042,0.771
2/3/2022,,0.043,0.037,0.683
2/4/2022,,0.042,0.034,0.791
2/5/2022,,0.044,0.031,0.575
2/6/2022,,0.052,0.044,0.685
2/7/2022,,0.045,0.038,0.729
2/8/2022,,0.055,0.047,0.863
2/9/2022,,0.057,0.044,0.665
2/10/2022,,0.066,0.05,0.904
2/11/2022,,0.07,0.05,1.151
2/12/2022,,0.051,0.036,0.776
2/13/2022,,0.052,0.025,0.623
2/14/2022,,0.058,0.046,0.758
2/15/2022,,0.037,0.02,0.288
2/16/2022,,0.042,0.019,0.299
2/17/2022,,0.051,0.029,0.77
2/18/2022,,0.051,0.047,0.94
2/19/2022,,0.058,0.029,0.541
2/20/2022,,0.062,0.034,0.747
2/21/2022,,0.043,0.023,0.344
2/22/2022,,0.04,0.024,0.315
2/23/2022,,0.039,0.022,0.404
2/24/2022,,0.046,0.019,0.334
2/25/2022,,0.046,0.026,0.507
2/26/2022,,0.045,0.03,0.601
2/27/2022,,0.052,0.022,0.495
2/28/2022,,0.059,0.034,0.555
3/1/2022,,0.066,0.033,0.493
3/2/2022,,0.067,0.052,0.602
3/3/2022,,0.059,0.033,0.439
3/4/2022,,0.04,0.016,0.346
3/5/2022,,0.044,0.018,0.44
3/6/2022,,0.045,0.019,0.34
3/7/2022,,0.045,0.025,0.356
3/8/2022,,0.049,0.029,0.352
3/9/2022,,0.054,0.048,0.492
3/10/2022,,0.047,0.029,0.348
3/11/2022,,0.051,0.025,0.272
3/12/2022,,0.055,0.028,0.564
3/13/2022,,0.046,0.024,0.386
3/14/2022,,0.057,0.023,0.342
3/15/2022,,0.059,0.032,0.488
3/16/2022,,0.044,0.023,0.329
3/17/2022,,0.052,0.037,0.445
3/18/2022,,0.058,0.027,0.422
3/19/2022,,0.038,0.033,0.561
3/20/2022,,0.042,0.018,0.343
3/21/2022,,0.053,0.022,0.371
3/22/2022,,0.068,0.029,0.495
3/23/2022,,0.058,0.044,0.762
3/24/2022,,0.069,0.027,0.401
3/25/2022,,0.064,0.028,0.565
3/26/2022,,0.07,0.029,0.432
3/27/2022,,0.053,0.018,0.257
3/28/2022,,0.045,0.009,0.207
3/29/2022,,0.044,0.027,0.453
3/30/2022,,0.053,0.021,0.296
3/31/2022,,0.042,0.021,0.259
4/1/2022,,0.061,0.024,0.487
4/2/2022,,0.061,0.034,0.449
4/3/2022,,0.052,0.027,0.394
4/4/2022,,0.049,0.025,0.425
4/5/2022,,0.043,0.025,0.339
4/6/2022,,0.067,0.034,0.512
4/7/2022,,0.063,0.029,0.483
4/8/2022,,0.078,0.035,0.442
4/9/2022,,0.05,0.018,0.305
4/10/2022,,0.046,0.015,0.297
4/11/2022,,0.048,0.026,0.325
4/12/2022,,0.047,0.016,0.188
4/13/2022,,0.053,0.023,0.32
4/14/2022,,0.053,0.025,0.242
4/15/2022,,0.043,0.015,0.316
