time,SO2,O3,NO2,CO
1/1/2022,,0.031,0.02,
1/2/2022,,0.031,0.023,
1/3/2022,,0.031,0.025,
1/4/2022,,0.028,0.023,
1/5/2022,,0.032,0.022,
1/6/2022,,0.032,0.021,
1/7/2022,,0.019,0.016,
1/8/2022,,0.033,0.011,
1/9/2022,,0.021,0.014,
1/10/2022,,0.016,0.02,
1/11/2022,,0.025,0.019,
1/12/2022,,0.029,0.025,
1/13/2022,,0.031,0.021,
1/14/2022,,0.016,0.017,
1/15/2022,,0.012,0.012,
1/16/2022,,0.028,0.019,
1/17/2022,,0.036,0.022,
1/18/2022,,0.041,0.033,
1/19/2022,,0.038,0.029,
1/20/2022,,0.04,0.026,
1/21/2022,,0.032,0.02,
1/22/2022,,0.035,0.024,
1/23/2022,,0.038,0.025,
1/24/2022,,0.041,0.032,
1/25/2022,,0.042,0.029,
1/26/2022,,0.042,0.036,
1/27/2022,,0.046,0.032,
1/28/2022,,0.043,0.034,
1/29/2022,,0.04,0.023,
1/30/2022,,0.046,0.033,
1/31/2022,,0.036,0.024,
2/1/2022,,0.034,0.019,
2/2/2022,,0.034,0.026,
2/3/2022,,0.036,0.031,
2/4/2022,,0.043,0.033,
2/5/2022,,0.044,0.027,
2/6/2022,,0.05,0.032,
2/7/2022,,0.051,0.021,
2/8/2022,,0.055,0.039,
2/9/2022,,0.048,0.04,
2/10/2022,,0.056,0.041,
2/11/2022,,0.063,0.044,
2/12/2022,,0.059,0.041,
2/13/2022,,0.062,0.04,
2/14/2022,,0.056,0.024,
2/15/2022,,0.039,0.016,
2/16/2022,,0.041,0.03,
2/17/2022,,0.05,0.039,
2/18/2022,,0.052,0.041,
2/19/2022,,0.056,0.033,
2/20/2022,,0.055,0.027,
2/21/2022,,0.043,0.016,
2/22/2022,,0.037,0.015,
2/23/2022,,0.037,0.024,
2/24/2022,,0.042,0.029,
2/25/2022,,0.046,0.026,
2/26/2022,,0.047,0.037,
2/27/2022,,0.05,0.029,
2/28/2022,,0.055,0.036,
3/1/2022,,0.061,0.036,
3/2/2022,,0.066,0.038,
3/3/2022,,0.05,0.022,
3/4/2022,,0.037,0.014,
3/5/2022,,0.044,0.014,
3/6/2022,,0.041,0.02,
3/7/2022,,0.044,0.018,
3/8/2022,,0.051,0.028,
3/9/2022,,0.055,0.024,
3/10/2022,,0.044,0.014,
3/11/2022,,0.052,0.036,
3/12/2022,,0.054,0.037,
3/13/2022,,0.046,0.008,
3/14/2022,,0.056,0.032,
3/15/2022,,0.029,0.024,
3/16/2022,,0.046,0.006,
3/17/2022,,0.047,0.016,
3/18/2022,,0.052,0.021,
3/19/2022,,0.041,0.023,
3/20/2022,,0.04,0.016,
3/21/2022,,0.052,0.023,
3/22/2022,,0.059,0.032,
3/23/2022,,0.056,0.025,
3/24/2022,,0.062,0.019,
3/25/2022,,0.063,0.011,
3/26/2022,,0.064,0.03,
3/27/2022,,0.047,0.007,
3/28/2022,,0.041,0.005,
3/29/2022,,0.041,0.02,
3/30/2022,,0.047,0.019,
3/31/2022,,0.037,0.015,
4/1/2022,,0.054,0.018,
4/2/2022,,0.053,0.022,
4/3/2022,,0.055,0.012,
4/4/2022,,0.052,0.016,
4/5/2022,,0.051,0.006,
4/6/2022,,0.058,0.021,
4/7/2022,,0.069,0.037,
4/8/2022,,0.076,0.02,
4/9/2022,,0.052,0.005,
4/10/2022,,0.048,0.005,
4/11/2022,,0.048,0.006,
4/12/2022,,0.048,0.004,
4/13/2022,,0.056,0.008,
4/14/2022,,0.046,0.007,
4/15/2022,,0.042,0.012,
4/16/2022,,0.04,0.009,
4/17/2022,,0.048,0.007,
4/18/2022,,0.054,0.004,
4/19/2022,,0.043,0.009,
4/20/2022,,0.052,0.009,
4/21/2022,,0.039,0.01,
4/22/2022,,0.047,0.008,
4/23/2022,,0.049,0.012,
4/24/2022,,0.05,0.018,
4/25/2022,,0.061,0.02,
4/26/2022,,0.06,0.008,
4/27/2022,,0.063,0.008,
4/28/2022,,0.059,0.005,
4/29/2022,,0.062,0.011,
4/30/2022,,0.055,0.021,
5/1/2022,,0.054,0.014,
5/2/2022,,0.057,0.017,
5/3/2022,,0.054,0.016,
5/4/2022,,0.068,0.025,
5/5/2022,,0.072,0.032,
5/6/2022,,0.05,0.007,
5/7/2022,,0.052,0.003,
5/8/2022,,0.051,0.002,
5/9/2022,,0.047,0.004,
5/10/2022,,0.045,0.005,
5/11/2022,,0.047,0.008,
5/12/2022,,0.05,0.011,
5/13/2022,,0.06,0.01,
5/14/2022,,0.062,0.011,
5/15/2022,,0.052,0.014,
5/16/2022,,0.062,0.005,
5/17/2022,,0.064,0.01,
5/18/2022,,0.073,0.022,
5/19/2022,,0.063,0.02,
5/20/2022,,0.059,0.009,
5/21/2022,,0.058,0.024,
5/22/2022,,0.062,0.01,
5/23/2022,,0.067,0.016,
5/24/2022,,0.076,0.02,
5/25/2022,,0.083,0.032,
5/26/2022,,0.069,0.019,
5/27/2022,,0.059,0.006,
5/28/2022,,0.046,0.003,
5/29/2022,,0.053,0.004,
5/30/2022,,0.049,0.005,
5/31/2022,,0.064,0.011,
6/1/2022,,0.066,0.021,
6/2/2022,,0.054,0.009,
6/3/2022,,0.043,0.005,
6/4/2022,,0.053,0.005,
6/5/2022,,0.039,0.006,
6/6/2022,,0.064,0.007,
6/7/2022,,0.074,0.01,
6/8/2022,,0.051,0.008,
6/9/2022,,0.058,0.008,
6/10/2022,,0.068,0.014,
6/11/2022,,0.048,0.007,
6/12/2022,,0.04,0.007,
6/13/2022,,0.056,0.004,
6/14/2022,,0.063,0.008,
6/15/2022,,0.068,0.021,
6/16/2022,,0.066,0.006,
6/17/2022,,0.05,0.004,
6/18/2022,,0.044,0.004,
6/19/2022,,0.05,0.006,
6/20/2022,,0.06,0.015,
6/21/2022,,0.073,0.015,
6/22/2022,,0.058,0.016,
6/23/2022,,0.069,0.014,
6/24/2022,,0.07,0.012,
6/25/2022,,0.065,0.012,
6/26/2022,,0.061,0.009,
6/27/2022,,0.071,0.01,
6/28/2022,,0.073,0.011,
6/29/2022,,0.064,0.012,
6/30/2022,,0.067,0.012,
7/1/2022,,0.059,0.012,
7/2/2022,,0.056,0.007,
7/3/2022,,0.049,0.004,
7/4/2022,,0.041,0.012,
7/5/2022,,0.043,0.006,
7/6/2022,,0.046,0.005,
7/7/2022,,0.052,0.007,
7/8/2022,,0.064,0.009,
7/9/2022,,0.056,0.004,
7/10/2022,,0.06,0.008,
7/11/2022,,0.075,0.015,
7/12/2022,,0.074,0.011,
7/13/2022,,0.065,0.008,
7/14/2022,,0.067,0.01,
7/15/2022,,0.067,0.008,
7/16/2022,,0.07,0.009,
7/17/2022,,0.072,0.01,
7/18/2022,,0.058,0.018,
7/19/2022,,0.062,0.009,
7/20/2022,,0.066,0.01,
7/21/2022,,0.059,0.016,
7/22/2022,,0.065,0.01,
7/23/2022,,0.07,0.012,
7/24/2022,,0.068,0.014,
7/25/2022,,0.073,0.009,
7/26/2022,,0.065,0.009,
7/27/2022,,0.063,0.009,
7/28/2022,,0.067,0.009,
7/29/2022,,0.072,0.01,
7/30/2022,,0.064,0.007,
7/31/2022,,0.065,0.008,
8/1/2022,,0.059,0.009,
8/2/2022,,0.06,0.014,
8/3/2022,,0.06,0.008,
8/4/2022,,0.054,0.011,
8/5/2022,,0.06,0.009,
8/6/2022,,0.067,0.005,
8/7/2022,,0.06,0.005,
8/8/2022,,0.054,0.006,
8/9/2022,,0.06,0.008,
8/10/2022,,0.055,0.006,
8/11/2022,,0.059,0.008,
8/12/2022,,0.06,0.009,
8/13/2022,,0.056,0.011,
8/14/2022,,0.064,0.014,
8/15/2022,,0.068,0.015,
8/16/2022,,0.085,0.03,
8/17/2022,,0.079,0.035,
8/18/2022,,0.077,0.024,
8/19/2022,,0.063,0.013,
8/20/2022,,0.064,0.017,
8/21/2022,,0.064,0.021,
8/22/2022,,0.055,0.013,
8/23/2022,,0.057,0.015,
8/24/2022,,0.076,0.025,
8/25/2022,,0.068,0.019,
8/26/2022,,0.065,0.011,
8/27/2022,,0.061,0.013,
8/28/2022,,0.057,0.009,
8/29/2022,,0.064,0.009,
8/30/2022,,0.067,0.008,
8/31/2022,,0.07,0.009,
9/1/2022,,0.073,0.026,
9/2/2022,,0.079,0.036,
9/3/2022,,0.091,0.024,
9/4/2022,,0.069,0.009,
9/5/2022,,0.07,0.029,
9/6/2022,,0.088,0.036,
9/7/2022,,0.073,0.025,
9/8/2022,,0.086,0.023,
9/9/2022,,0.069,0.038,
9/10/2022,,0.049,0.014,
9/11/2022,,0.057,0.007,
9/12/2022,,0.05,0.011,
9/13/2022,,0.048,0.007,
9/14/2022,,0.049,0.007,
9/15/2022,,0.053,0.007,
9/16/2022,,0.054,0.009,
9/17/2022,,0.057,0.015,
9/18/2022,,0.038,0.007,
9/19/2022,,0.03,0.018,
9/20/2022,,0.043,0.017,
9/21/2022,,0.052,0.014,
9/22/2022,,0.056,0.01,
9/23/2022,,0.074,0.022,
9/24/2022,,0.072,0.023,
9/25/2022,,0.078,0.014,
9/26/2022,,0.08,0.018,
9/27/2022,,0.082,0.012,
9/28/2022,,0.071,0.013,
9/29/2022,,0.057,0.012,
9/30/2022,,0.063,0.017,
10/1/2022,,0.066,0.015,
10/2/2022,,0.057,0.008,
10/3/2022,,0.062,0.019,
10/4/2022,,0.068,0.018,
10/5/2022,,0.08,0.026,
10/6/2022,,0.074,0.026,
10/7/2022,,0.075,0.021,
10/8/2022,,0.072,0.027,
10/9/2022,,0.067,0.027,
10/10/2022,,0.077,0.017,
10/11/2022,,0.074,0.021,
10/12/2022,,0.064,0.023,
10/13/2022,,0.07,0.021,
10/14/2022,,0.067,0.029,
10/15/2022,,0.071,0.029,
10/16/2022,,0.051,0.007,
10/17/2022,,0.061,0.018,
10/18/2022,,0.065,0.021,
10/19/2022,,0.065,0.036,
10/20/2022,,0.08,0.034,
10/21/2022,,0.076,0.043,
10/22/2022,,0.038,0.024,
10/23/2022,,0.037,0.008,
10/24/2022,,0.041,0.029,
10/25/2022,,0.048,0.021,
10/26/2022,,0.043,0.018,
10/27/2022,,0.048,0.038,
10/28/2022,,0.053,0.024,
10/29/2022,,0.052,0.028,
10/30/2022,,0.057,0.029,
10/31/2022,,0.05,0.034,
11/1/2022,,0.038,0.024,
11/2/2022,,0.041,0.014,
11/3/2022,,0.035,0.028,
11/4/2022,,0.035,0.027,
11/5/2022,,0.04,0.023,
11/6/2022,,0.035,0.021,
11/7/2022,,0.029,0.018,
11/8/2022,,0.031,0.013,
11/9/2022,,0.035,0.022,
11/10/2022,,0.03,0.022,
11/11/2022,,0.027,0.029,
11/12/2022,,0.039,0.02,
11/13/2022,,0.029,0.023,
11/14/2022,,0.037,0.036,
11/15/2022,,0.037,0.036,
11/16/2022,,0.039,0.039,
11/17/2022,,0.035,0.022,
11/18/2022,,0.042,0.034,
11/19/2022,,0.046,0.04,
11/20/2022,,0.051,0.039,
11/21/2022,,0.047,0.04,
11/22/2022,,0.046,0.041,
11/23/2022,,0.051,0.042,
11/24/2022,,0.058,0.044,
11/25/2022,,0.051,0.046,
11/26/2022,,0.051,0.033,
11/27/2022,,0.054,0.039,
11/28/2022,,0.047,0.024,
11/29/2022,,0.037,0.036,
11/30/2022,,0.03,0.031,
12/1/2022,,0.033,0.016,
12/2/2022,,0.033,0.017,
12/3/2022,,0.02,0.011,
12/4/2022,,0.031,0.011,
12/5/2022,,0.037,0.027,
12/6/2022,,0.03,0.02,
12/7/2022,,0.031,0.025,
12/8/2022,,0.033,0.027,
12/9/2022,,0.033,0.022,
12/10/2022,,0.029,0.011,
12/11/2022,,0.039,0.005,
12/12/2022,,0.035,0.019,
12/13/2022,,0.031,0.024,
12/14/2022,,0.033,0.029,
12/15/2022,,0.025,0.024,
12/16/2022,,0.031,0.029,
12/17/2022,,0.017,0.015,
12/18/2022,,0.025,0.006,
12/19/2022,,0.017,0.014,
12/20/2022,,0.015,0.011,
12/21/2022,,0.014,0.009,
12/22/2022,,0.01,0.009,
12/23/2022,,0.011,0.013,
12/24/2022,,0.012,0.007,
12/25/2022,,0.012,0.007,
12/26/2022,,0.009,0.013,
12/27/2022,,0.029,0.011,
12/28/2022,,0.035,0.022,
12/29/2022,,0.031,0.013,
12/30/2022,,0.023,0.007,
12/31/2022,,0.037,0.005,
