time,SO2,O3,NO2,CO
1/1/2022,0,0.042,0.032,0.866
1/2/2022,0,0.043,0.034,0.867
1/3/2022,0.001,0.035,0.04,1.101
1/4/2022,0.001,0.028,0.037,1.081
1/5/2022,0.001,0.023,0.052,1.589
1/6/2022,0.001,0.023,0.07,1.474
1/7/2022,0.007,0.029,0.049,1.532
1/8/2022,0,0.045,0.037,0.948
1/9/2022,0,0.045,0.039,1.123
1/10/2022,0,0.038,0.043,0.94
1/11/2022,0.001,0.041,0.05,1.166
1/12/2022,0.001,0.032,0.047,1.445
1/13/2022,0.001,0.009,0.063,1.672
1/14/2022,0.001,0.034,0.058,1.565
1/15/2022,0.001,0.031,0.046,1.416
1/16/2022,0.001,0.039,0.042,0.562
1/17/2022,0,0.034,0.035,0.625
1/18/2022,0,0.039,0.041,0.654
1/19/2022,0,0.035,0.037,0.954
1/20/2022,0.001,0.045,0.047,1.241
1/21/2022,0.001,0.04,0.039,1.16
1/22/2022,0,0.043,0.037,0.651
1/23/2022,0.002,0.045,0.041,1.052
1/24/2022,0.001,0.036,0.044,1.231
1/25/2022,0.001,0.04,0.043,1.119
1/26/2022,0.001,0.043,0.048,1.332
1/27/2022,0.001,0.04,0.048,1.338
1/28/2022,0.001,0.045,0.053,1.527
1/29/2022,0.001,0.028,0.041,1.263
1/30/2022,0.001,0.045,0.043,1.16
1/31/2022,0.001,0.031,0.049,1.083
2/1/2022,0,0.041,0.045,0.963
2/2/2022,0.001,0.042,0.047,1.141
2/3/2022,0.001,0.035,0.044,1.196
2/4/2022,0.001,0.042,0.043,1.115
2/5/2022,0.001,0.045,0.046,1.141
2/6/2022,0.001,0.046,0.048,1.238
2/7/2022,0.002,0.049,0.053,1.265
2/8/2022,0.001,0.047,0.056,1.149
2/9/2022,0.001,0.046,0.055,1.262
2/10/2022,0.002,0.045,0.055,1.363
2/11/2022,0.001,0.054,0.056,1.28
2/12/2022,0.001,0.055,0.055,1.29
2/13/2022,0,0.06,0.044,1.048
2/14/2022,0.002,0.048,0.041,0.966
2/15/2022,0,0.043,0.019,0.351
2/16/2022,0,0.038,0.033,0.457
2/17/2022,0,0.046,0.044,0.86
2/18/2022,0,0.05,0.046,1.003
2/19/2022,0.001,0.056,0.039,0.856
2/20/2022,0.001,0.051,0.032,0.831
2/21/2022,0,0.045,0.028,0.378
2/22/2022,0,0.045,0.017,0.324
2/23/2022,0,0.043,0.017,0.346
2/24/2022,0,0.044,0.039,0.73
2/25/2022,0.001,0.045,0.043,0.858
2/26/2022,0,0.048,0.044,1.021
2/27/2022,0,0.057,0.045,0.799
2/28/2022,0.002,0.049,0.057,1.101
3/1/2022,0.001,0.054,0.046,0.98
3/2/2022,0.001,0.049,0.066,1.111
3/3/2022,0.001,0.066,0.058,1.129
3/4/2022,0,0.043,0.029,0.667
3/5/2022,0,0.048,0.025,0.613
3/6/2022,0.002,0.045,0.037,0.8
3/7/2022,0,0.046,0.047,0.919
3/8/2022,0.001,0.051,0.043,0.919
3/9/2022,0.001,0.053,0.04,0.93
3/10/2022,0,0.051,0.036,0.687
3/11/2022,0.001,0.056,0.045,0.881
3/12/2022,0,0.057,0.043,0.932
3/13/2022,0.001,0.061,0.038,0.807
3/14/2022,0,0.056,0.049,0.756
3/15/2022,0.001,0.054,0.051,1.021
3/16/2022,0,0.046,0.039,0.655
3/17/2022,0.001,0.055,0.041,0.947
3/18/2022,0.001,0.053,0.041,1.106
3/19/2022,0.001,0.046,0.04,0.702
3/20/2022,0,0.046,0.014,0.275
3/21/2022,0.001,0.052,0.044,0.712
3/22/2022,0.001,0.059,0.048,1.192
3/23/2022,0.001,0.057,0.041,1.213
3/24/2022,0.001,0.063,0.041,0.747
3/25/2022,0.001,0.066,0.04,1.034
3/26/2022,0.001,0.061,0.028,0.622
3/27/2022,0,0.055,0.009,0.208
3/28/2022,0,0.045,0.028,0.288
3/29/2022,0,0.043,0.029,0.735
3/30/2022,0,0.047,0.024,0.476
3/31/2022,0.001,0.041,0.019,0.378
4/1/2022,0,0.054,0.028,0.926
4/2/2022,0,0.055,0.028,0.555
4/3/2022,0,0.053,0.012,0.277
4/4/2022,0,0.053,0.032,0.607
4/5/2022,0.001,0.052,0.043,0.923
4/6/2022,0.001,0.085,0.046,0.867
4/7/2022,0,0.076,0.053,0.962
4/8/2022,0,0.073,0.044,1.056
4/9/2022,0.002,0.067,0.039,0.798
4/10/2022,0,0.056,0.008,0.214
4/11/2022,0,0.048,0.013,0.249
4/12/2022,0,0.051,0.009,0.205
4/13/2022,0,0.057,0.039,0.645
4/14/2022,0.001,0.059,0.036,0.725
4/15/2022,0.001,0.05,0.027,0.434
4/16/2022,0,0.04,0.012,0.32
4/17/2022,0,0.05,0.014,0.292
4/18/2022,0.001,0.061,0.025,0.714
4/19/2022,0.001,0.04,0.031,0.365
4/20/2022,0,0.048,0.014,0.258
4/21/2022,0.001,0.044,0.027,0.411
4/22/2022,0,0.049,0.021,0.333
4/23/2022,0,0.054,0.038,0.82
4/24/2022,0,0.062,0.029,0.622
4/25/2022,0.001,0.067,0.051,0.743
4/26/2022,0.001,0.061,0.049,0.659
4/27/2022,0,0.061,0.018,0.3
4/28/2022,0.001,0.056,0.033,0.394
4/29/2022,0,0.066,0.032,0.68
4/30/2022,0.001,0.07,0.034,0.71
5/1/2022,0.001,0.069,0.024,0.58
5/2/2022,0,0.054,0.021,0.321
5/3/2022,0,0.053,0.022,0.436
5/4/2022,0.001,0.069,0.03,0.485
5/5/2022,0,0.062,0.035,0.502
5/6/2022,0.002,0.061,0.042,0.97
5/7/2022,0.001,0.05,0.021,0.277
5/8/2022,0,0.046,0.009,0.223
5/9/2022,0,0.051,0.029,0.548
5/10/2022,0.001,0.048,0.032,0.726
5/11/2022,0,0.049,0.028,0.674
5/12/2022,0,0.061,0.042,0.819
5/13/2022,0.001,0.07,0.045,0.894
5/14/2022,0.002,0.138,0.051,0.918
5/15/2022,0.002,0.069,0.045,0.903
5/16/2022,0.001,0.059,0.019,0.359
5/17/2022,0.001,0.048,0.023,0.472
5/18/2022,0,0.058,0.023,0.378
5/19/2022,0,0.048,0.023,0.341
5/20/2022,0,0.044,0.015,0.278
5/21/2022,0,0.047,0.011,0.261
5/22/2022,0.001,0.05,0.022,0.53
5/23/2022,0,0.056,0.021,0.41
5/24/2022,0,0.064,0.023,0.481
5/25/2022,0.001,0.079,0.029,0.593
5/26/2022,0,0.058,0.026,0.402
5/27/2022,0,0.052,0.016,0.272
5/28/2022,0,0.045,0.014,0.222
5/29/2022,0,0.046,0.016,0.303
5/30/2022,0,0.047,0.014,0.418
5/31/2022,0.001,0.058,0.025,0.515
6/1/2022,0.001,0.059,0.03,0.52
6/2/2022,0.001,0.061,0.03,0.379
6/3/2022,0,0.061,0.02,0.352
6/4/2022,0.001,0.039,0.014,0.305
6/5/2022,0.001,0.049,0.018,0.364
6/6/2022,0,0.048,0.025,0.336
6/7/2022,0,0.056,0.022,0.448
6/8/2022,0,0.061,0.024,0.473
6/9/2022,0,0.08,0.028,0.533
6/10/2022,0.001,0.087,0.036,0.817
6/11/2022,0,0.066,0.026,0.821
6/12/2022,0.001,0.069,0.016,0.383
6/13/2022,0.001,0.048,0.023,0.286
6/14/2022,0.001,0.063,0.023,0.367
6/15/2022,0,0.069,0.028,0.471
6/16/2022,0,0.067,0.025,0.398
6/17/2022,0.001,0.062,0.018,0.298
6/18/2022,0.001,0.057,0.025,0.406
6/19/2022,0.001,0.049,0.021,0.54
6/20/2022,0.001,0.08,0.043,0.68
6/21/2022,0.001,0.061,0.031,0.624
6/22/2022,0,0.061,0.025,0.514
6/23/2022,0,0.067,0.029,0.605
6/24/2022,0,0.064,0.029,0.671
6/25/2022,0,0.062,0.023,0.512
6/26/2022,0,0.069,0.027,0.537
6/27/2022,0.001,0.077,0.039,0.692
6/28/2022,0.001,0.075,0.051,0.809
6/29/2022,0.001,0.062,0.027,0.446
6/30/2022,0.001,0.069,0.026,0.36
7/1/2022,0.001,0.062,0.03,0.432
7/2/2022,0.001,0.05,0.021,0.441
7/3/2022,0.001,0.052,0.018,0.355
7/4/2022,0.001,0.053,0.018,0.328
7/5/2022,0.001,0.046,0.02,0.468
7/6/2022,0.001,0.033,0.025,0.293
7/7/2022,0.001,0.042,0.022,0.59
7/8/2022,0,0.048,0.023,0.369
7/9/2022,0.001,0.052,0.028,0.442
7/10/2022,0.001,0.06,0.029,0.495
7/11/2022,0.001,0.049,0.019,0.392
7/12/2022,0,0.047,0.022,0.412
7/13/2022,0,0.05,0.017,0.399
7/14/2022,0.001,0.043,0.017,0.366
7/15/2022,0,0.057,0.023,0.479
7/16/2022,0.001,0.073,0.03,0.485
7/17/2022,0.001,0.072,0.026,0.422
7/18/2022,0.001,0.049,0.027,0.525
7/19/2022,0.001,0.056,0.024,0.83
7/20/2022,0.002,0.054,0.032,0.515
7/21/2022,0.001,0.057,0.028,0.461
7/22/2022,0.001,0.058,0.023,0.337
7/23/2022,0.001,0.057,0.014,0.305
7/24/2022,0.001,0.067,0.013,0.323
7/25/2022,0.001,0.065,0.02,0.362
7/26/2022,0.001,0.065,0.021,0.436
7/27/2022,0.001,0.057,0.02,0.385
7/28/2022,0.001,0.046,0.026,0.473
7/29/2022,0.001,0.052,0.025,0.313
7/30/2022,0.001,0.043,0.022,0.496
7/31/2022,0.001,0.064,0.018,0.391
8/1/2022,0.001,0.042,0.022,0.645
8/2/2022,0.001,0.038,0.018,0.503
8/3/2022,0.002,0.047,0.02,0.375
8/4/2022,0.001,0.051,0.022,0.439
8/5/2022,0.002,0.046,0.031,0.485
8/6/2022,0.002,0.05,0.027,0.486
8/7/2022,0.002,0.081,0.03,0.988
8/8/2022,0.002,0.065,0.033,0.644
8/9/2022,0.002,0.07,0.043,0.813
8/10/2022,0.002,0.068,0.04,0.766
8/11/2022,0.001,0.066,0.044,0.867
8/12/2022,0.001,0.067,0.046,0.864
8/13/2022,0.002,0.08,0.031,0.705
8/14/2022,0.002,0.082,0.028,0.606
8/15/2022,0.002,0.068,0.044,0.808
8/16/2022,0.001,0.066,0.048,0.843
8/17/2022,0.002,0.06,0.034,0.835
8/18/2022,0.001,0.049,0.024,0.564
8/19/2022,0.001,0.063,0.028,0.843
8/20/2022,0.001,0.062,0.017,0.344
8/21/2022,0.001,0.05,0.009,0.241
8/22/2022,0.001,0.051,0.015,0.317
8/23/2022,0.001,0.067,0.032,0.594
8/24/2022,0.001,0.055,0.026,0.499
8/25/2022,0.002,0.053,0.033,0.53
8/26/2022,0.001,0.052,0.024,0.531
8/27/2022,0.001,0.049,0.023,0.549
8/28/2022,0.001,0.048,0.009,0.249
8/29/2022,0.001,0.047,0.022,0.366
8/30/2022,0.001,0.056,0.041,0.856
8/31/2022,0.002,0.071,0.075,1.073
9/1/2022,0.002,0.087,0.043,1.03
9/2/2022,0.002,0.08,0.047,0.73
9/3/2022,0.002,0.092,0.033,0.611
9/4/2022,0.002,0.093,0.038,0.594
9/5/2022,0.001,0.092,0.025,0.427
9/6/2022,0.002,0.084,0.04,0.636
9/7/2022,,0.086,0.052,0.742
9/8/2022,,0.063,0.041,0.782
9/9/2022,0.001,0.035,0.036,0.482
9/10/2022,0.001,0.033,0.019,0.324
9/11/2022,0.001,0.048,0.014,0.249
9/12/2022,0.001,0.039,0.017,0.368
9/13/2022,0.001,0.046,0.025,0.461
9/14/2022,0.001,0.049,0.024,0.302
9/15/2022,0.001,0.048,0.026,0.461
9/16/2022,0.001,0.06,0.028,0.68
9/17/2022,0.001,0.058,0.023,0.515
9/18/2022,0.001,0.047,0.01,0.239
9/19/2022,0.001,0.045,0.022,0.67
9/20/2022,0,0.032,0.019,0.495
9/21/2022,0,0.039,0.021,0.543
9/22/2022,0,0.061,0.031,0.73
9/23/2022,0.001,0.074,0.039,0.857
9/24/2022,0.001,0.072,0.029,0.85
9/25/2022,0.001,0.059,0.033,0.852
9/26/2022,0.001,0.068,0.049,0.905
9/27/2022,0.001,0.078,0.065,1.114
9/28/2022,0.001,0.085,0.051,1.324
9/29/2022,0.001,0.066,0.032,0.843
9/30/2022,0.001,0.052,0.014,0.327
10/1/2022,0,0.057,0.009,0.224
10/2/2022,0,0.064,0.005,0.289
10/3/2022,0,0.054,0.032,0.599
10/4/2022,0.001,0.063,0.029,0.81
10/5/2022,0,0.066,0.028,0.531
10/6/2022,0,0.062,0.029,0.546
10/7/2022,0,0.071,0.035,0.613
10/8/2022,0,0.076,0.029,0.77
10/9/2022,0,0.057,0.017,0.465
10/10/2022,0,0.053,0.021,0.385
10/11/2022,0,0.054,0.019,0.394
10/12/2022,0,0.056,0.024,0.453
10/13/2022,0,0.051,0.026,0.492
10/14/2022,0,0.039,0.025,0.409
10/15/2022,0,0.044,0.014,0.293
10/16/2022,0,0.042,0.023,0.552
10/17/2022,0,0.052,0.031,0.731
10/18/2022,0,0.07,0.049,0.869
10/19/2022,0,0.063,0.047,0.97
10/20/2022,0,0.063,0.042,0.838
10/21/2022,0.001,0.057,0.033,0.557
10/22/2022,0,0.044,0.012,0.282
10/23/2022,0,0.046,0.024,0.6
10/24/2022,0,0.045,0.036,0.828
10/25/2022,0.001,0.046,0.04,0.842
10/26/2022,0,0.053,0.038,0.948
10/27/2022,0,0.055,0.043,0.928
10/28/2022,0.001,0.054,0.043,1.091
10/29/2022,0,0.064,0.041,1.093
10/30/2022,0.001,0.07,0.05,1.186
10/31/2022,0.001,0.046,0.048,1.209
11/1/2022,0,0.048,0.029,0.686
11/2/2022,0,0.039,0.019,0.301
11/3/2022,0,0.039,0.026,0.413
11/4/2022,0,0.039,0.036,0.796
11/5/2022,0.001,0.041,0.038,0.931
11/6/2022,0,0.051,0.031,0.998
11/7/2022,0,0.031,0.023,0.508
11/8/2022,0,0.037,0.021,0.406
11/9/2022,0,0.037,0.03,0.755
11/10/2022,0,0.039,0.035,0.971
11/11/2022,0,0.04,0.038,0.97
11/12/2022,0.001,0.041,0.034,0.867
11/13/2022,0,0.043,0.034,0.877
11/14/2022,0,0.039,0.042,1.111
11/15/2022,0,0.038,0.042,1.13
11/16/2022,0.001,0.038,0.045,1.275
11/17/2022,0.001,0.042,0.042,1.257
11/18/2022,0.001,0.038,0.045,1.255
11/19/2022,0,0.045,0.041,1.155
11/20/2022,0,0.051,0.04,1.113
11/21/2022,0,0.046,0.048,1.012
11/22/2022,0.001,0.039,0.045,1.229
11/23/2022,0.001,0.037,0.049,1.278
11/24/2022,0.001,0.044,0.043,1.173
11/25/2022,0,0.044,0.04,1.144
11/26/2022,0.001,0.044,0.038,1.055
11/27/2022,0,0.05,0.046,0.991
11/28/2022,0,0.043,0.026,0.51
11/29/2022,0,0.044,0.038,0.86
11/30/2022,0,0.041,0.029,0.792
12/1/2022,0,0.034,0.029,0.38
12/2/2022,0,0.032,0.031,0.622
12/3/2022,0,0.035,0.026,0.915
12/4/2022,0,0.027,0.027,1.001
12/5/2022,0,0.039,0.034,0.705
12/6/2022,0,0.032,0.031,0.817
12/7/2022,0,0.037,0.035,0.904
12/8/2022,0,0.038,0.035,0.847
12/9/2022,0,0.029,0.037,1.188
12/10/2022,0,0.034,0.029,1.044
12/11/2022,0,0.04,0.03,0.833
12/12/2022,0,0.034,0.031,0.786
12/13/2022,0,0.032,0.035,1.041
12/14/2022,0,0.032,0.035,0.911
12/15/2022,0,0.023,0.04,1.422
12/16/2022,0,0.031,0.04,0.988
12/17/2022,0,0.033,0.038,0.999
12/18/2022,0,0.035,0.036,1.067
12/19/2022,0,0.037,0.046,1.332
12/20/2022,0,0.034,0.039,1.175
12/21/2022,0.001,0.029,0.042,1.377
12/22/2022,0.001,0.024,0.052,1.518
12/23/2022,0.001,0.021,0.048,1.49
12/24/2022,0,0.038,0.042,1.4
12/25/2022,0,0.047,0.04,0.944
12/26/2022,0,0.036,0.04,1.292
12/27/2022,0,0.026,0.039,1.33
12/28/2022,0,0.03,0.026,0.774
12/29/2022,0,0.03,0.026,0.524
12/30/2022,0,0.023,0.031,0.595
12/31/2022,0,0.022,0.014,0.296
