time,SO2,O3,NO2,CO
1/1/2022,,0.035,,
1/2/2022,,0.037,,
1/3/2022,,0.038,,
1/4/2022,,0.029,,
1/5/2022,,0.033,,
1/6/2022,,0.02,,
1/7/2022,,0.041,,
1/8/2022,,0.031,,
1/9/2022,,0.035,,
1/10/2022,,0.035,,
1/11/2022,,0.028,,
1/12/2022,,0.027,,
1/13/2022,,0.036,,
1/14/2022,,0.026,,
1/15/2022,,0.03,,
1/16/2022,,0.024,,
1/17/2022,,0.032,,
1/18/2022,,0.032,,
1/19/2022,,0.034,,
1/20/2022,,0.028,,
1/21/2022,,0.039,,
1/22/2022,,0.047,,
1/23/2022,,0.043,,
1/24/2022,,0.039,,
1/25/2022,,0.037,,
1/26/2022,,0.045,,
1/27/2022,,0.048,,
1/28/2022,,0.042,,
1/29/2022,,0.044,,
1/30/2022,,0.043,,
1/31/2022,,0.038,,
2/1/2022,,0.041,,
2/2/2022,,0.042,,
2/3/2022,,0.039,,
2/4/2022,,0.043,,
2/5/2022,,0.04,,
2/6/2022,,0.044,,
2/7/2022,,0.045,,
2/8/2022,,0.046,,
2/9/2022,,0.047,,
2/10/2022,,0.046,,
2/11/2022,,0.038,,
2/12/2022,,0.039,,
2/13/2022,,0.05,,
2/14/2022,,0.036,,
2/15/2022,,0.036,,
2/16/2022,,0.032,,
2/17/2022,,0.042,,
2/18/2022,,0.04,,
2/19/2022,,0.04,,
2/20/2022,,0.041,,
2/21/2022,,0.04,,
2/22/2022,,0.037,,
2/23/2022,,0.041,,
2/24/2022,,0.04,,
2/25/2022,,0.042,,
2/26/2022,,0.041,,
2/27/2022,,0.044,,
2/28/2022,,0.039,,
3/1/2022,,0.038,,
3/2/2022,,0.04,,
3/3/2022,,0.024,,
3/4/2022,,0.046,,
3/5/2022,,0.037,,
3/6/2022,,0.038,,
3/7/2022,,0.046,,
3/8/2022,,0.045,,
3/9/2022,,0.043,,
3/10/2022,,0.044,,
3/11/2022,,0.043,,
3/12/2022,,0.05,,
3/13/2022,,0.046,,
3/14/2022,,0.046,,
3/15/2022,,0.041,,
3/16/2022,,0.037,,
3/17/2022,,0.041,,
3/18/2022,,0.04,,
3/19/2022,,0.036,,
3/20/2022,,0.038,,
3/21/2022,,0.037,,
3/22/2022,,0.032,,
3/23/2022,,0.037,,
3/24/2022,,0.041,,
3/25/2022,,0.053,,
3/26/2022,,0.037,,
3/27/2022,,0.031,,
3/28/2022,,0.04,,
3/29/2022,,0.025,,
3/30/2022,,0.035,,
3/31/2022,,0.034,,
4/1/2022,,0.038,,
4/2/2022,,0.041,,
4/3/2022,,0.047,,
4/4/2022,,0.041,,
4/5/2022,,0.039,,
4/6/2022,,0.041,,
4/7/2022,,0.045,,
4/8/2022,,0.044,,
4/9/2022,,0.043,,
4/10/2022,,0.044,,
4/11/2022,,0.043,,
4/12/2022,,0.045,,
4/13/2022,,0.042,,
4/14/2022,,0.037,,
4/15/2022,,0.037,,
4/16/2022,,0.041,,
4/17/2022,,0.04,,
4/18/2022,,0.045,,
4/19/2022,,0.043,,
4/20/2022,,0.038,,
4/21/2022,,0.049,,
4/22/2022,,0.04,,
4/23/2022,,0.038,,
4/24/2022,,0.035,,
4/25/2022,,0.056,,
4/26/2022,,0.042,,
4/27/2022,,0.041,,
4/28/2022,,0.047,,
4/29/2022,,0.049,,
4/30/2022,,0.046,,
5/1/2022,,0.044,,
5/2/2022,,0.044,,
5/3/2022,,0.042,,
5/4/2022,,0.048,,
5/5/2022,,0.049,,
5/6/2022,,0.034,,
5/7/2022,,0.038,,
5/8/2022,,0.04,,
5/9/2022,,0.04,,
5/10/2022,,0.04,,
5/11/2022,,0.034,,
5/12/2022,,0.043,,
5/13/2022,,0.03,,
5/14/2022,,0.026,,
5/15/2022,,0.038,,
5/16/2022,,0.036,,
5/17/2022,,0.039,,
5/18/2022,,0.039,,
5/19/2022,,0.041,,
5/20/2022,,0.054,,
5/21/2022,,0.04,,
5/22/2022,,0.044,,
5/23/2022,,0.039,,
5/24/2022,,0.045,,
5/25/2022,,0.037,,
5/26/2022,,0.028,,
5/27/2022,,0.025,,
5/28/2022,,0.033,,
5/29/2022,,0.034,,
