time,SO2,O3,NO2,CO
1/1/2022,,0.029,0.02,
1/2/2022,,0.03,0.023,
1/3/2022,,0.033,0.015,
1/4/2022,,0.032,0.027,
1/5/2022,,0.033,0.015,
1/6/2022,,0.03,0.021,
1/7/2022,,0.027,0.016,
1/8/2022,,0.026,0.012,
1/9/2022,,0.034,0.019,
1/10/2022,,0.023,0.026,
1/11/2022,,0.032,0.03,
1/12/2022,,0.031,0.023,
1/13/2022,,0.027,0.015,
1/14/2022,,0.016,0.018,
1/15/2022,,0.017,0.013,
1/16/2022,,0.033,0.019,
1/17/2022,,0.02,0.024,
1/18/2022,,0.033,0.019,
1/19/2022,,0.035,0.022,
1/20/2022,,0.041,0.022,
1/21/2022,,0.024,0.017,
1/22/2022,,0.033,0.018,
1/23/2022,,0.039,0.021,
1/24/2022,,0.038,0.025,
1/25/2022,,0.035,0.024,
1/26/2022,,0.045,0.024,
1/27/2022,,0.037,0.032,
1/28/2022,,0.035,0.029,
1/29/2022,,0.04,0.019,
1/30/2022,,0.048,0.026,
1/31/2022,,0.034,0.026,
2/1/2022,,0.036,0.016,
2/2/2022,,0.043,0.024,
2/3/2022,,0.041,0.03,
2/4/2022,,0.043,0.032,
2/5/2022,,0.041,0.022,
2/6/2022,,0.048,0.017,
2/7/2022,,0.044,0.03,
2/8/2022,,0.047,0.017,
2/9/2022,,0.047,0.023,
2/10/2022,,0.051,0.023,
2/11/2022,,0.055,0.025,
2/12/2022,,0.055,0.024,
2/13/2022,,0.053,0.024,
2/14/2022,,0.053,0.016,
2/15/2022,,0.04,0.012,
2/16/2022,,0.052,0.021,
2/17/2022,,0.049,0.028,
2/18/2022,,0.047,0.02,
2/19/2022,,0.051,0.021,
2/20/2022,,0.054,0.013,
2/21/2022,,0.043,0.018,
2/22/2022,,0.041,0.018,
2/23/2022,,0.037,0.02,
2/24/2022,,0.041,0.018,
2/25/2022,,0.045,0.021,
2/26/2022,,0.046,0.019,
2/27/2022,,0.054,0.019,
2/28/2022,,0.052,0.016,
3/1/2022,,0.055,0.014,
3/2/2022,,0.053,0.016,
3/3/2022,,0.043,0.021,
3/4/2022,,0.041,0.008,
3/5/2022,,0.042,0.016,
3/6/2022,,0.042,0.019,
3/7/2022,,0.042,0.019,
3/8/2022,,0.051,0.017,
3/9/2022,,0.046,0.02,
3/10/2022,,0.044,0.02,
3/11/2022,,0.048,0.026,
3/12/2022,,0.054,0.018,
3/13/2022,,0.05,0.008,
3/14/2022,,0.053,0.027,
3/15/2022,,0.039,0.02,
3/16/2022,,0.045,0.009,
3/17/2022,,0.048,0.014,
3/18/2022,,0.047,0.016,
3/19/2022,,0.038,0.014,
3/20/2022,,0.045,0.005,
3/21/2022,,0.047,0.015,
3/22/2022,,0.056,0.022,
3/23/2022,,0.062,0.014,
3/24/2022,,0.047,0.016,
3/25/2022,,0.054,0.016,
3/26/2022,,0.054,0.018,
3/27/2022,,0.046,0.009,
3/28/2022,,0.039,0.015,
3/29/2022,,0.042,0.013,
3/30/2022,,0.042,0.014,
3/31/2022,,0.044,0.021,
4/1/2022,,0.051,0.018,
4/2/2022,,0.052,0.019,
4/3/2022,,0.052,0.019,
4/4/2022,,0.043,0.011,
4/5/2022,,0.051,0.006,
4/6/2022,,0.055,0.013,
4/7/2022,,0.067,0.017,
4/8/2022,,0.057,0.017,
4/9/2022,,0.05,0.005,
4/10/2022,,0.045,0.006,
4/11/2022,,0.049,0.007,
4/12/2022,,0.047,0.004,
4/13/2022,,0.053,0.005,
4/14/2022,,0.041,0.013,
4/15/2022,,0.043,0.011,
4/16/2022,,0.043,0.01,
4/17/2022,,0.051,0.008,
4/18/2022,,0.05,0.006,
4/19/2022,,0.045,0.01,
4/20/2022,,0.046,0.004,
4/21/2022,,0.038,0.004,
4/22/2022,,0.049,0.009,
4/23/2022,,0.047,0.007,
4/24/2022,,0.049,0.016,
4/25/2022,,0.062,0.018,
4/26/2022,,0.061,0.007,
4/27/2022,,0.059,0.018,
4/28/2022,,0.055,0.008,
4/29/2022,,0.056,0.008,
4/30/2022,,0.044,0.018,
5/1/2022,,0.051,0.016,
5/2/2022,,0.054,0.019,
5/3/2022,,0.053,0.019,
5/4/2022,,0.063,0.025,
5/5/2022,,0.044,0.018,
