time,SO2,O3,NO2,CO
1/1/2022,,0.031,0.02,0.805
1/2/2022,,0.023,0.024,0.799
1/3/2022,,0.032,0.02,0.719
1/4/2022,,0.029,0.015,0.542
1/5/2022,,0.025,0.019,0.468
1/6/2022,,0.019,0.013,0.339
1/7/2022,,0.033,0.011,0.258
1/8/2022,,0.027,0.016,0.559
1/9/2022,,0.027,0.019,0.663
1/10/2022,,0.03,0.022,0.848
1/11/2022,,0.023,0.023,0.969
1/12/2022,,0.034,0.023,0.834
1/13/2022,,0.022,0.021,1.177
1/14/2022,,0.028,0.024,1.003
1/15/2022,,0.027,0.023,0.83
1/16/2022,,0.03,0.021,0.905
1/17/2022,,0.027,0.026,0.689
1/18/2022,,0.022,0.022,0.772
1/19/2022,,0.018,0.02,0.725
1/20/2022,,0.028,0.025,1.186
1/21/2022,,0.04,0.023,1.021
1/22/2022,,0.039,0.026,0.658
1/23/2022,,0.038,0.023,0.674
1/24/2022,,0.026,0.026,1.075
1/25/2022,,0.022,0.017,0.768
1/26/2022,,0.039,0.028,0.809
1/27/2022,,0.035,0.029,1.192
1/28/2022,,0.04,0.032,0.904
1/29/2022,,0.042,0.028,1.098
1/30/2022,,0.033,0.024,0.573
1/31/2022,,0.023,0.02,0.931
2/1/2022,,0.04,0.032,1.082
2/2/2022,,0.038,0.023,0.539
2/3/2022,,0.025,0.03,1.092
2/4/2022,,0.042,0.028,1.003
2/5/2022,,0.03,0.027,1.011
2/6/2022,,0.041,0.024,0.901
2/7/2022,,0.052,0.033,1.234
2/8/2022,,0.048,0.032,1.205
2/9/2022,,0.042,0.034,1.334
2/10/2022,,0.043,0.03,1.216
2/11/2022,,0.049,0.029,1.058
2/12/2022,,0.059,0.025,0.957
2/13/2022,,0.054,0.022,0.8
2/14/2022,,0.039,0.012,0.648
2/15/2022,,0.039,0.012,0.405
2/16/2022,,0.039,0.03,0.746
2/17/2022,,0.043,0.032,0.845
2/18/2022,,0.054,0.028,0.828
2/19/2022,,0.057,0.028,0.84
2/20/2022,,0.042,0.014,0.433
2/21/2022,,0.041,0.004,0.302
2/22/2022,,0.039,0.014,0.448
2/23/2022,,0.037,0.027,0.696
2/24/2022,,0.037,0.026,0.816
2/25/2022,,0.046,0.025,1.327
2/26/2022,,0.038,0.024,0.927
2/27/2022,,0.059,0.02,0.697
2/28/2022,,0.053,0.035,1.16
3/1/2022,,0.033,0.018,0.871
3/2/2022,,0.032,0.015,0.596
3/3/2022,,0.025,0.014,0.468
3/4/2022,,0.045,0.005,0.244
3/5/2022,,0.043,0.012,0.36
3/6/2022,,0.035,0.015,0.53
3/7/2022,,0.049,0.025,0.611
3/8/2022,,0.042,0.03,0.941
3/9/2022,,0.045,0.028,0.642
3/10/2022,,0.047,0.022,0.38
3/11/2022,,0.045,0.032,0.978
3/12/2022,,0.048,0.024,0.727
3/13/2022,,0.045,0.007,0.236
3/14/2022,,0.048,0.025,0.622
3/15/2022,,0.037,0.009,0.277
3/16/2022,,0.037,0.023,0.619
3/17/2022,,0.04,0.015,0.427
3/18/2022,,0.043,0.022,0.601
3/19/2022,,0.039,0.009,0.393
3/20/2022,,0.041,0.004,0.313
3/21/2022,,0.041,0.023,0.592
3/22/2022,,0.029,0.02,1.099
3/23/2022,,0.031,0.01,0.473
3/24/2022,,0.034,0.016,0.631
3/25/2022,,0.035,0.011,0.417
3/26/2022,,0.034,0.017,0.604
3/27/2022,,0.037,0.005,0.444
3/28/2022,,0.043,0.015,0.424
3/29/2022,,0.03,0.009,0.358
3/30/2022,,0.035,0.009,0.348
3/31/2022,,0.036,0.012,0.526
4/1/2022,,0.038,0.016,0.606
4/2/2022,,0.046,0.015,0.477
4/3/2022,,0.049,0.015,0.645
4/4/2022,,0.042,0.004,0.273
4/5/2022,,0.046,0.007,0.297
4/6/2022,,0.058,0.022,0.825
4/7/2022,,0.074,0.027,0.843
4/8/2022,,0.049,0.031,0.777
4/9/2022,,0.043,0.012,0.375
4/10/2022,,0.044,0.012,0.381
4/11/2022,,0.045,0.006,0.345
4/12/2022,,0.044,0.006,0.313
