time,SO2,O3,NO2,CO
1/1/2022,,0.037,0.025,1.5
1/2/2022,,0.04,0.019,0.6
1/3/2022,,0.035,,0.3
1/4/2022,,0.037,,0.3
1/5/2022,,0.034,,0.3
1/6/2022,,0.027,,0.3
1/7/2022,,0.035,,0.3
1/8/2022,,0.034,,0.4
1/9/2022,,0.034,,0.6
1/10/2022,,0.037,,0.5
1/11/2022,,0.034,,0.5
1/12/2022,,0.031,,0.7
1/13/2022,,0.028,,0.5
1/14/2022,,0.031,,0.7
1/15/2022,,0.037,,0.5
1/16/2022,,0.037,,0.4
1/17/2022,,0.026,,0.4
1/18/2022,,0.035,,0.7
1/19/2022,,0.029,,0.7
1/20/2022,,0.038,,0.5
1/21/2022,,0.039,,0.5
1/22/2022,,0.037,,6.6
1/23/2022,,0.042,,6.7
1/24/2022,,0.04,,0.5
1/25/2022,,0.035,,0.4
1/26/2022,,0.038,,0.4
1/27/2022,,0.044,,0.6
1/28/2022,,0.044,,0.7
1/29/2022,,0.043,,0.6
1/30/2022,,0.045,,0.6
1/31/2022,,0.033,,0.6
2/1/2022,,0.04,,1.2
2/2/2022,,0.042,,0.6
2/3/2022,,0.04,,0.5
2/4/2022,,0.046,,0.4
2/5/2022,,0.048,,0.5
2/6/2022,,0.046,,0.6
2/7/2022,,0.044,,0.2
2/8/2022,,0.047,,0.3
2/9/2022,,0.047,,0.3
2/10/2022,,0.048,,0.3
2/11/2022,,0.044,,0.3
2/12/2022,,0.05,,5.9
2/13/2022,,0.042,,0.2
2/14/2022,,0.046,,0.1
2/15/2022,,0.043,,0.4
2/16/2022,,0.037,,0.5
2/17/2022,,0.045,,0.3
2/18/2022,,0.051,,0.2
2/19/2022,,0.046,,0.3
2/20/2022,,0.042,,0.2
2/21/2022,,0.043,,0.3
2/22/2022,,0.041,,0.2
2/23/2022,,0.04,,0.6
2/24/2022,,0.042,,0.3
2/25/2022,,0.045,,0.3
2/26/2022,,0.048,,0.3
2/27/2022,,0.051,,0.3
2/28/2022,,0.05,,0.4
3/1/2022,,0.044,,0.4
3/2/2022,,0.041,,0.3
3/3/2022,,0.038,,0.3
3/4/2022,,0.046,,0.2
3/5/2022,,0.047,,0.3
3/6/2022,,0.039,,0.2
3/7/2022,,0.046,0.009,0.3
3/8/2022,,0.047,0.014,0.2
3/9/2022,,0.051,0.016,0.4
3/10/2022,,0.048,0.018,0.3
3/11/2022,,0.05,0.016,0.3
3/12/2022,,0.045,0.012,0.2
3/13/2022,,0.046,0.004,0.2
3/14/2022,,0.052,0.008,0.3
3/15/2022,,0.036,0.009,0.2
3/16/2022,,0.043,0.007,0.2
3/17/2022,,0.041,0.007,0.3
3/18/2022,,0.044,0.017,0.4
3/19/2022,,0.04,0.003,0.4
3/20/2022,,0.041,0.006,0.2
3/21/2022,,0.043,0.014,0.5
3/22/2022,,0.038,0.012,0.2
3/23/2022,,0.033,0.005,0.2
3/24/2022,,0.04,0.008,0.4
3/25/2022,,0.039,0.003,0.2
3/26/2022,,0.038,0.007,0.2
3/27/2022,,0.038,0.001,0.2
3/28/2022,,0.049,0.003,0.2
3/29/2022,,0.035,0.003,0.2
3/30/2022,,0.041,0.004,0.2
3/31/2022,,0.039,0.003,0.2
