time,SO2,O3,NO2,CO
1/1/2022,,0.049,,
1/2/2022,,0.043,,
1/3/2022,,0.041,,
1/4/2022,,0.038,,
1/5/2022,,0.04,,
1/6/2022,,0.041,,
1/7/2022,,0.037,,
1/8/2022,,0.045,,
1/9/2022,,0.047,,
1/10/2022,,0.047,,
1/11/2022,,0.048,,
1/12/2022,,0.045,,
1/13/2022,,0.049,,
1/14/2022,,0.05,,
1/15/2022,,0.05,,
1/16/2022,,0.046,,
1/17/2022,,0.049,,
1/18/2022,,0.044,,
1/19/2022,,0.051,,
1/20/2022,,0.051,,
1/21/2022,,0.047,,
1/22/2022,,0.047,,
1/23/2022,,0.046,,
1/24/2022,,0.042,,
1/25/2022,,0.052,,
1/26/2022,,0.052,,
1/27/2022,,0.051,,
1/28/2022,,0.057,,
1/29/2022,,0.052,,
1/30/2022,,0.047,,
1/31/2022,,0.043,,
2/1/2022,,0.048,,
2/2/2022,,0.048,,
2/3/2022,,0.053,,
2/4/2022,,0.052,,
2/5/2022,,0.057,,
2/6/2022,,0.055,,
2/7/2022,,0.052,,
2/8/2022,,0.05,,
2/9/2022,,0.051,,
2/10/2022,,0.053,,
2/11/2022,,0.051,,
2/12/2022,,0.052,,
2/13/2022,,0.054,,
2/14/2022,,0.054,,
2/15/2022,,0.044,,
2/16/2022,,0.047,,
2/17/2022,,0.05,,
2/18/2022,,0.055,,
2/19/2022,,0.054,,
2/20/2022,,0.051,,
2/21/2022,,0.044,,
2/22/2022,,0.039,,
2/23/2022,,0.043,,
2/24/2022,,0.045,,
2/25/2022,,0.048,,
2/26/2022,,0.051,,
2/27/2022,,0.049,,
2/28/2022,,0.049,,
3/1/2022,,0.048,,
3/2/2022,,0.051,,
3/3/2022,,0.046,,
3/4/2022,,0.046,,
3/5/2022,,0.037,,
3/6/2022,,0.045,,
3/7/2022,,0.05,,
3/8/2022,,0.049,,
3/9/2022,,0.049,,
3/10/2022,,0.053,,
3/11/2022,,0.054,,
3/12/2022,,0.059,,
3/13/2022,,0.052,,
3/14/2022,,0.056,,
3/15/2022,,0.048,,
3/16/2022,,0.045,,
3/17/2022,,0.05,,
3/18/2022,,0.05,,
3/19/2022,,0.047,,
3/20/2022,,0.047,,
3/21/2022,,0.044,,
3/22/2022,,0.04,,
3/23/2022,,0.052,,
3/24/2022,,0.047,,
3/25/2022,,0.055,,
3/26/2022,,0.06,,
3/27/2022,,0.047,,
3/28/2022,,0.039,,
3/29/2022,,0.042,,
3/30/2022,,0.037,,
3/31/2022,,0.044,,
4/1/2022,,0.05,,
4/2/2022,,0.051,,
4/3/2022,,0.056,,
4/4/2022,,0.045,,
4/5/2022,,0.047,,
4/6/2022,,0.052,,
4/7/2022,,0.063,,
4/8/2022,,0.055,,
4/9/2022,,0.049,,
4/10/2022,,0.048,,
4/11/2022,,0.046,,
4/12/2022,,0.048,,
4/13/2022,,0.052,,
4/14/2022,,0.045,,
4/15/2022,,0.047,,
4/16/2022,,0.041,,
4/17/2022,,0.055,,
4/18/2022,,0.051,,
4/19/2022,,0.05,,
4/20/2022,,0.049,,
4/21/2022,,0.051,,
4/22/2022,,0.045,,
4/23/2022,,0.045,,
4/24/2022,,0.052,,
4/25/2022,,0.061,,
4/26/2022,,0.062,,
4/27/2022,,0.057,,
4/28/2022,,0.061,,
4/29/2022,,0.062,,
4/30/2022,,0.055,,
5/1/2022,,0.056,,
5/2/2022,,0.06,,
5/3/2022,,0.054,,
5/4/2022,,0.059,,
5/5/2022,,0.052,,
5/6/2022,,0.042,,
5/7/2022,,0.049,,
5/8/2022,,0.048,,
5/9/2022,,0.049,,
5/10/2022,,0.042,,
5/11/2022,,0.052,,
5/12/2022,,0.057,,
5/13/2022,,0.057,,
5/14/2022,,0.042,,
5/15/2022,,0.043,,
5/16/2022,,0.053,,
5/17/2022,,0.059,,
5/18/2022,,0.057,,
5/19/2022,,0.056,,
5/20/2022,,0.063,,
5/21/2022,,0.052,,
5/22/2022,,0.054,,
5/23/2022,,0.052,,
5/24/2022,,0.059,,
5/25/2022,,0.069,,
5/26/2022,,0.063,,
5/27/2022,,0.041,,
5/28/2022,,0.042,,
5/29/2022,,0.044,,
5/30/2022,,0.048,,
5/31/2022,,0.047,,
6/1/2022,,0.058,,
6/2/2022,,0.057,,
6/3/2022,,0.045,,
6/4/2022,,0.053,,
6/5/2022,,0.038,,
6/6/2022,,0.054,,
6/7/2022,,0.069,,
6/8/2022,,0.062,,
6/9/2022,,0.058,,
6/10/2022,,0.05,,
6/11/2022,,0.048,,
6/12/2022,,0.033,,
6/13/2022,,0.044,,
6/14/2022,,0.052,,
6/15/2022,,0.068,,
6/16/2022,,0.066,,
6/17/2022,,0.055,,
6/18/2022,,0.044,,
6/19/2022,,0.041,,
6/20/2022,,0.046,,
6/21/2022,,0.056,,
