time,SO2,O3,NO2,CO
1/1/2022,,0.041,0.032,0.955
1/2/2022,,0.042,0.037,0.708
1/3/2022,,0.03,0.032,0.97
1/4/2022,,0.037,0.036,1.244
1/5/2022,,0.029,0.048,1.61
1/6/2022,,0.03,0.046,2.021
1/7/2022,,0.048,0.026,1.182
1/8/2022,,0.04,0.028,0.776
1/9/2022,,0.04,0.04,1.491
1/10/2022,,0.036,0.015,0.25
1/11/2022,,0.041,0.034,0.534
1/12/2022,,0.031,0.051,2.051
1/13/2022,,0.008,0.048,1.458
1/14/2022,,0.033,0.045,1.688
1/15/2022,,0.034,0.033,0.683
1/16/2022,,0.04,0.017,0.451
1/17/2022,,0.043,0.018,0.399
1/18/2022,,0.035,0.022,0.466
1/19/2022,,0.033,0.035,0.765
1/20/2022,,0.036,0.042,1.635
1/21/2022,,0.039,0.034,1.099
1/22/2022,,0.041,0.029,0.609
1/23/2022,,0.041,0.036,0.746
1/24/2022,,0.041,0.033,1.134
1/25/2022,,0.047,0.035,1.106
1/26/2022,,0.039,0.041,2.371
1/27/2022,,0.036,0.045,1.514
1/28/2022,,0.041,0.037,0.844
1/29/2022,,0.031,0.043,1.699
1/30/2022,,0.042,0.032,0.966
1/31/2022,,0.036,0.034,1.153
2/1/2022,,0.043,0.038,0.949
2/2/2022,,0.039,0.036,1.356
2/3/2022,,0.039,0.039,1.118
2/4/2022,,0.04,0.038,0.823
2/5/2022,,0.043,0.04,1.118
2/6/2022,,0.048,0.045,1.266
2/7/2022,,0.045,0.048,1.069
2/8/2022,,0.046,0.052,0.983
2/9/2022,,0.048,0.053,1.451
2/10/2022,,0.045,0.043,0.823
2/11/2022,,0.049,0.046,1.699
2/12/2022,,0.051,0.049,1.466
2/13/2022,,0.053,0.044,0.968
2/14/2022,,0.05,0.038,1.01
2/15/2022,,0.042,0.016,0.372
2/16/2022,,0.043,0.03,0.964
2/17/2022,,0.044,0.039,0.841
2/18/2022,,0.036,0.041,0.937
2/19/2022,,0.047,0.036,1.073
2/20/2022,,0.045,0.022,0.623
2/21/2022,,0.043,0.02,0.435
2/22/2022,,0.042,0.016,0.357
2/23/2022,,0.04,0.033,0.525
2/24/2022,,0.038,0.034,0.928
2/25/2022,,0.045,0.037,0.925
2/26/2022,,0.047,0.04,1.025
2/27/2022,,0.046,0.042,1.02
2/28/2022,,0.05,0.045,1.12
3/1/2022,,0.053,0.042,0.893
3/2/2022,,0.065,0.041,1.008
3/3/2022,,0.055,0.032,0.673
3/4/2022,,0.041,0.024,0.53
3/5/2022,,0.047,0.017,0.35
3/6/2022,,0.044,0.028,0.588
3/7/2022,,0.047,0.042,0.85
3/8/2022,,0.048,0.038,1.372
3/9/2022,,0.05,0.036,0.913
3/10/2022,,0.053,0.032,0.744
3/11/2022,,0.051,0.041,0.946
3/12/2022,,0.053,0.036,0.807
3/13/2022,,0.058,0.029,0.769
3/14/2022,,0.047,0.031,0.867
3/15/2022,,0.057,0.034,1.054
3/16/2022,,0.045,0.028,0.593
3/17/2022,,0.054,0.033,1.012
3/18/2022,,0.053,0.036,1.121
3/19/2022,,0.044,0.019,0.574
3/20/2022,,0.042,0.01,0.361
3/21/2022,,0.051,0.027,0.786
3/22/2022,,0.056,0.038,0.888
3/23/2022,,0.053,0.04,1.274
3/24/2022,,0.06,0.037,1.239
3/25/2022,,0.045,0.019,0.557
3/26/2022,,0.053,0.009,0.397
3/27/2022,,0.047,0.003,0.264
3/28/2022,,0.044,0.007,0.295
3/29/2022,,0.043,0.024,0.833
3/30/2022,,0.049,0.027,0.687
3/31/2022,,0.041,0.008,0.272
4/1/2022,,0.051,0.031,0.947
4/2/2022,,0.045,0.024,0.569
4/3/2022,,0.05,0.009,0.316
4/4/2022,,0.052,0.01,0.374
4/5/2022,,0.055,0.026,0.801
4/6/2022,,0.056,0.024,0.967
4/7/2022,,0.073,0.05,1.24
4/8/2022,,0.064,0.031,0.642
4/9/2022,,0.053,0.022,0.535
4/10/2022,,0.049,0.003,0.249
4/11/2022,,0.049,0.005,0.255
4/12/2022,,0.045,0.018,0.371
4/13/2022,,0.05,0.036,0.886
4/14/2022,,0.055,0.034,1.03
4/15/2022,,0.052,0.031,0.52
4/16/2022,,0.036,0.009,0.247
4/17/2022,,0.048,0.012,0.389
4/18/2022,,0.048,0.022,0.523
4/19/2022,,0.035,0.021,0.559
4/20/2022,,0.045,0.009,0.306
4/21/2022,,0.039,0.026,0.544
4/22/2022,,0.047,0.01,0.268
4/23/2022,,0.054,0.024,0.627
4/24/2022,,0.059,0.024,0.608
4/25/2022,,0.061,0.037,0.626
4/26/2022,,0.056,0.035,0.667
4/27/2022,,0.055,0.008,0.3
4/28/2022,,0.05,0.013,0.312
4/29/2022,,0.062,0.013,0.395
4/30/2022,,0.068,0.027,0.662
5/1/2022,,0.057,0.007,0.334
5/2/2022,,0.049,0.016,0.299
5/3/2022,,0.05,0.007,0.267
5/4/2022,,0.062,0.023,0.467
5/5/2022,,0.058,0.015,0.384
5/6/2022,,0.055,0.013,0.402
5/7/2022,,0.039,0.004,0.251
5/8/2022,,0.042,0.003,0.228
5/9/2022,,0.049,0.027,0.574
5/10/2022,,0.047,0.026,0.586
5/11/2022,,0.048,0.016,0.405
5/12/2022,,0.06,0.036,0.718
5/13/2022,,0.077,0.041,0.785
5/14/2022,,0.102,0.033,0.698
5/15/2022,,0.063,0.019,0.47
5/16/2022,,0.044,0.005,0.249
5/17/2022,,0.045,0.005,0.26
5/18/2022,,0.052,0.006,0.282
5/19/2022,,0.045,0.006,0.276
5/20/2022,,0.046,0.004,0.244
5/21/2022,,0.043,0.005,0.219
5/22/2022,,0.05,0.011,0.323
5/23/2022,,0.048,0.005,0.26
5/24/2022,,0.054,0.01,0.339
5/25/2022,,0.052,0.022,0.561
5/26/2022,,0.047,0.007,0.336
5/27/2022,,0.045,0.008,0.296
5/28/2022,,0.04,0.007,0.262
5/29/2022,,0.042,0.006,0.224
5/30/2022,,0.047,0.006,0.221
5/31/2022,,0.046,0.022,0.602
6/1/2022,,0.053,0.013,0.413
6/2/2022,,0.049,0.009,0.367
6/3/2022,,0.056,0.006,0.382
6/4/2022,,0.045,0.008,0.34
6/5/2022,,0.043,0.003,0.325
6/6/2022,,0.034,0.006,0.373
6/7/2022,,0.039,0.007,0.387
6/8/2022,,0.05,0.007,0.414
6/9/2022,,0.053,0.005,0.372
6/10/2022,,0.058,0.008,0.426
6/11/2022,,0.059,0.007,0.409
6/12/2022,,0.048,0.004,0.367
6/13/2022,,0.034,0.008,0.377
6/14/2022,,0.046,0.007,0.366
6/15/2022,,0.052,0.008,0.39
6/16/2022,,0.055,0.004,0.409
6/17/2022,,0.055,0.008,0.344
6/18/2022,,0.045,0.007,0.313
6/19/2022,,0.05,0.01,0.356
6/20/2022,,0.085,0.024,0.643
6/21/2022,,0.057,0.013,0.481
6/22/2022,,0.06,0.023,0.594
6/23/2022,,0.064,0.02,0.526
6/24/2022,,0.074,0.024,0.628
6/25/2022,,0.067,0.013,0.457
6/26/2022,,0.06,0.008,0.402
6/27/2022,,0.085,0.016,0.513
6/28/2022,,0.057,0.012,0.437
6/29/2022,,0.051,0.007,0.422
6/30/2022,,0.046,0.01,0.409
7/1/2022,,0.048,0.012,0.384
7/2/2022,,0.038,0.006,0.317
7/3/2022,,0.036,0.005,0.291
7/4/2022,,0.039,0.011,0.366
7/5/2022,,0.04,0.006,0.341
7/6/2022,,0.025,0.009,0.387
7/7/2022,,0.039,0.009,0.352
7/8/2022,,0.038,0.01,0.384
7/9/2022,,0.055,0.01,0.408
7/10/2022,,0.051,0.008,0.383
7/11/2022,,0.039,0.007,0.339
7/12/2022,,0.038,0.005,0.31
7/13/2022,,0.05,0.011,0.367
7/14/2022,,0.038,0.009,0.368
7/15/2022,,0.048,0.007,0.404
7/16/2022,,0.057,0.008,0.483
7/17/2022,,0.051,0.009,0.482
7/18/2022,,0.041,0.008,0.439
7/19/2022,,0.053,0.015,0.681
7/20/2022,,0.042,0.009,0.381
7/21/2022,,0.04,0.014,0.406
7/22/2022,,0.045,0.004,0.37
7/23/2022,,0.044,0.004,0.363
7/24/2022,,0.045,0.003,0.366
7/25/2022,,0.048,0.005,0.396
7/26/2022,,0.052,0.009,0.43
7/27/2022,,0.054,0.01,0.368
7/28/2022,,0.042,0.007,0.265
7/29/2022,,0.043,0.007,0.233
7/30/2022,,0.048,0.005,0.245
7/31/2022,,0.041,0.006,0.224
8/1/2022,,0.043,0.013,0.335
8/2/2022,,0.039,0.015,0.346
8/3/2022,,0.039,0.012,0.225
8/4/2022,,0.04,0.01,0.217
8/5/2022,,0.046,0.012,0.253
8/6/2022,,0.05,0.011,0.291
8/7/2022,,0.048,0.01,0.369
8/8/2022,,0.046,0.008,0.283
8/9/2022,,0.047,0.016,0.403
8/10/2022,,0.046,0.013,0.342
8/11/2022,,0.058,0.013,0.255
8/12/2022,,0.073,0.014,0.238
8/13/2022,,0.051,0.016,0.458
8/14/2022,,0.054,0.008,0.281
8/15/2022,,0.053,0.008,0.216
8/16/2022,,0.063,0.013,0.306
8/17/2022,,0.054,0.01,0.295
8/18/2022,,0.049,0.012,0.293
8/19/2022,,0.047,0.015,0.279
8/20/2022,,0.039,0.004,0.166
8/21/2022,,0.034,0.005,0.154
8/22/2022,,0.042,0.011,0.256
8/23/2022,,0.049,0.007,0.228
8/24/2022,,0.038,0.006,0.215
8/25/2022,,0.039,0.011,0.274
8/26/2022,,0.043,0.012,0.285
8/27/2022,,0.039,0.008,0.205
8/28/2022,,0.038,0.007,0.206
8/29/2022,,0.039,0.012,0.312
8/30/2022,,0.058,0.019,0.337
8/31/2022,,0.068,0.025,0.641
9/1/2022,,0.054,0.011,0.332
9/2/2022,,0.053,0.021,0.718
9/3/2022,,0.069,0.018,0.505
9/4/2022,,0.063,0.026,0.652
9/5/2022,,0.056,0.011,0.413
9/6/2022,,0.057,0.015,0.353
9/7/2022,,0.068,0.02,0.501
9/8/2022,,0.065,0.018,0.399
9/9/2022,,0.022,0.036,1.343
9/10/2022,,0.028,0.012,0.361
9/11/2022,,0.035,0.009,0.181
9/12/2022,,0.036,0.01,0.252
9/13/2022,,0.035,0.012,0.287
9/14/2022,,0.036,0.006,0.163
9/15/2022,,0.043,0.013,0.224
9/16/2022,,0.046,0.024,0.432
9/17/2022,,0.043,0.012,0.333
9/18/2022,,0.04,0.007,0.176
9/19/2022,,0.044,0.022,0.651
9/20/2022,,0.03,0.018,0.409
9/21/2022,,0.041,0.02,0.569
9/22/2022,,0.057,0.025,0.806
9/23/2022,,0.059,0.04,0.939
9/24/2022,,0.069,0.026,0.581
9/25/2022,,0.063,0.016,0.432
9/26/2022,,0.065,0.016,0.417
9/27/2022,,0.06,0.022,0.714
9/28/2022,,0.072,0.014,0.375
9/29/2022,,0.055,0.017,0.444
9/30/2022,,0.04,0.009,0.228
10/1/2022,,0.046,0.005,0.159
10/2/2022,,0.058,0.007,0.215
10/3/2022,,0.052,0.025,0.491
10/4/2022,,0.052,0.021,0.698
10/5/2022,,0.057,0.011,0.282
10/6/2022,,0.054,0.006,0.238
10/7/2022,,0.067,0.012,0.325
10/8/2022,,0.063,0.017,0.327
10/9/2022,,0.057,0.013,0.256
10/10/2022,,0.051,0.006,0.204
10/11/2022,,0.048,0.012,0.278
10/12/2022,,0.054,0.014,0.369
10/13/2022,,0.054,0.016,0.339
10/14/2022,,0.045,0.007,0.236
10/15/2022,,0.039,0.012,0.323
10/16/2022,,0.038,0.028,0.535
10/17/2022,,0.049,0.028,0.889
10/18/2022,,0.068,0.042,1.198
10/19/2022,,0.052,0.047,1.095
10/20/2022,,0.054,0.036,0.728
10/21/2022,,0.056,0.03,
10/22/2022,,0.042,0.006,
10/23/2022,,0.044,0.014,
10/24/2022,,0.042,0.036,
10/25/2022,,0.048,0.037,
10/26/2022,,0.048,0.031,0.421
10/27/2022,,0.054,0.039,0.936
10/28/2022,,0.059,0.033,1.106
10/29/2022,,0.055,0.036,1.003
10/30/2022,,0.061,0.037,1.04
10/31/2022,,0.054,0.041,1.391
11/1/2022,,0.043,0.032,0.758
11/2/2022,,0.036,0.013,0.247
11/3/2022,,0.036,0.025,0.505
11/4/2022,,0.037,0.037,1.095
11/5/2022,,0.044,0.031,0.822
11/6/2022,,0.046,0.027,0.686
11/7/2022,,0.031,0.02,0.475
11/8/2022,,0.032,0.019,0.435
11/9/2022,,0.036,0.028,0.51
11/10/2022,,0.032,0.037,1.07
11/11/2022,,0.035,0.041,1.017
11/12/2022,,0.046,0.035,1.004
11/13/2022,,0.045,0.026,0.643
11/14/2022,,0.039,0.037,1.029
11/15/2022,,0.04,0.043,1.466
11/16/2022,,0.038,0.041,0.841
11/17/2022,,0.039,0.038,1.008
11/18/2022,,0.043,0.037,1.133
11/19/2022,,0.041,0.031,1.144
11/20/2022,,0.044,0.046,0.987
11/21/2022,,0.038,0.048,1.027
11/22/2022,,0.04,0.046,1.365
11/23/2022,,0.044,0.041,0.998
11/24/2022,,0.043,0.032,0.994
11/25/2022,,0.042,0.041,1.046
11/26/2022,,0.045,0.033,0.834
11/27/2022,,0.048,0.03,0.642
11/28/2022,,0.046,0.033,0.584
11/29/2022,,0.039,0.031,0.709
11/30/2022,,0.038,0.028,0.541
12/1/2022,,0.039,0.022,0.329
12/2/2022,,0.03,0.037,0.915
12/3/2022,,0.029,0.028,1.067
12/4/2022,,0.023,0.021,0.759
12/5/2022,,0.036,0.031,0.568
12/6/2022,,0.034,0.03,1.104
12/7/2022,,0.034,0.034,0.867
12/8/2022,,0.034,0.035,0.826
12/9/2022,,0.034,0.036,1.249
12/10/2022,,0.039,0.026,0.818
12/11/2022,,0.037,0.028,0.786
12/12/2022,,0.029,0.032,0.798
12/13/2022,,0.034,0.035,1.111
12/14/2022,,0.029,0.038,1.267
12/15/2022,,0.016,0.038,1.274
12/16/2022,,0.034,0.039,2.085
12/17/2022,,0.036,0.041,1.191
12/18/2022,,0.033,0.035,1.141
12/19/2022,,0.031,0.042,1.126
12/20/2022,,0.03,0.04,1.252
12/21/2022,,0.025,0.046,1.449
12/22/2022,,0.031,0.038,1.414
12/23/2022,,0.031,0.038,1.37
12/24/2022,,0.03,0.042,1.541
12/25/2022,,0.045,0.042,1.738
12/26/2022,,0.04,0.053,1.524
12/27/2022,,0.026,0.037,1.629
12/28/2022,,0.037,0.028,0.566
12/29/2022,,0.034,0.027,0.433
12/30/2022,,0.03,0.015,0.279
12/31/2022,,0.022,0.008,0.164
