time,SO2,O3,NO2,CO
1/1/2022,,0.031,0.02,
1/2/2022,,0.03,0.023,
1/3/2022,,0.032,0.017,
1/4/2022,,0.028,0.011,
1/5/2022,,0.028,0.013,
1/6/2022,,0.022,0.009,
1/7/2022,,0.02,0.014,
1/8/2022,,0.029,0.025,
1/9/2022,,0.024,0.025,
1/10/2022,,0.028,0.027,
1/11/2022,,0.027,0.026,
1/12/2022,,0.027,0.024,
1/13/2022,,0.03,0.03,
1/14/2022,,0.027,0.019,
1/15/2022,,0.024,0.016,
1/16/2022,,0.023,0.02,
1/17/2022,,0.019,0.022,
1/18/2022,,0.029,0.022,
1/19/2022,,0.029,0.024,
1/20/2022,,0.035,0.029,
1/21/2022,,0.034,0.016,
1/22/2022,,0.036,0.015,
1/23/2022,,0.037,0.024,
1/24/2022,,0.035,0.032,
1/25/2022,,0.029,0.02,
1/26/2022,,0.036,0.034,
1/27/2022,,0.039,0.029,
1/28/2022,,0.033,0.031,
1/29/2022,,0.036,0.02,
1/30/2022,,0.043,0.013,
1/31/2022,,0.035,0.023,
2/1/2022,,0.037,0.017,
2/2/2022,,0.036,0.009,
2/3/2022,,0.037,0.018,
2/4/2022,,0.037,0.033,
2/5/2022,,0.04,0.017,
2/6/2022,,0.048,0.01,
2/7/2022,,0.042,0.028,
2/8/2022,,0.04,0.012,
2/9/2022,,0.037,0.02,
2/10/2022,,0.048,0.017,
2/11/2022,,0.045,0.034,
2/12/2022,,0.044,0.023,
2/13/2022,,0.04,0.019,
2/14/2022,,0.042,0.01,
2/15/2022,,0.037,0.009,
2/16/2022,,0.039,0.016,
2/17/2022,,0.045,0.019,
2/18/2022,,0.043,0.024,
2/19/2022,,0.044,0.023,
2/20/2022,,0.034,0.01,
2/21/2022,,0.037,0.019,
2/22/2022,,0.035,0.01,
2/23/2022,,0.035,0.02,
2/24/2022,,0.038,0.024,
2/25/2022,,0.042,0.024,
2/26/2022,,0.041,0.015,
2/27/2022,,0.043,0.02,
2/28/2022,,0.041,0.021,
3/1/2022,,0.041,0.011,
3/2/2022,,0.044,0.009,
3/3/2022,,0.034,0.01,
3/4/2022,,0.037,0.01,
3/5/2022,,0.034,0.016,
3/6/2022,,0.038,0.015,
3/7/2022,,0.04,0.012,
3/8/2022,,0.041,0.02,
3/9/2022,,0.04,0.019,
3/10/2022,,0.04,0.014,
