time,SO2,O3,NO2,CO
1/1/2022,0.001,0.043,0.028,0.953
1/2/2022,0.001,0.039,0.033,0.482
1/3/2022,0.001,0.038,0.039,1.19
1/4/2022,0.002,0.044,0.039,1.34
1/5/2022,0.002,0.03,0.047,1.435
1/6/2022,0.002,0.033,0.052,1.397
1/7/2022,0.002,0.039,0.041,1.256
1/8/2022,0.001,0.046,0.038,0.834
1/9/2022,0.001,0.04,0.025,1.065
1/10/2022,0.001,0.04,0.01,0.162
1/11/2022,0.001,0.043,0.039,0.526
1/12/2022,0.001,0.033,0.041,0.695
1/13/2022,0.002,0.008,0.044,0.99
1/14/2022,0.002,0.04,0.036,1.453
1/15/2022,0.001,0.038,0.035,0.399
1/16/2022,0.001,0.04,0.03,0.798
1/17/2022,0.001,0.024,0.035,0.628
1/18/2022,0.001,0.039,0.021,0.379
1/19/2022,0.001,0.031,0.03,0.795
1/20/2022,0.001,0.041,0.039,1.081
1/21/2022,0.001,0.041,0.038,1.02
1/22/2022,0.001,0.04,0.011,0.296
1/23/2022,0.001,0.041,0.023,0.48
1/24/2022,0.001,0.042,0.036,1.103
1/25/2022,0.002,0.043,0.039,1.279
1/26/2022,0.001,0.042,0.021,0.265
1/27/2022,0.001,0.041,0.043,0.761
1/28/2022,0.001,0.043,0.038,0.564
1/29/2022,0.001,0.036,0.039,0.917
1/30/2022,0.001,0.041,0.037,1.023
1/31/2022,0.002,0.034,0.043,1.201
2/1/2022,0.001,0.037,0.038,0.735
2/2/2022,0.001,0.042,0.005,0.159
2/3/2022,0.001,0.042,0.026,0.344
2/4/2022,0.001,0.041,0.042,0.752
2/5/2022,0.001,0.045,0.036,0.412
2/6/2022,0.001,0.044,0.032,0.377
2/7/2022,0.001,0.043,0.041,0.908
2/8/2022,0.001,0.042,0.042,0.934
2/9/2022,0.001,0.043,0.012,0.23
2/10/2022,0.001,0.039,0.026,0.32
2/11/2022,0.001,0.043,0.04,0.377
2/12/2022,0.001,0.046,0.041,0.982
2/13/2022,0.001,0.052,0.046,1.332
2/14/2022,0.002,0.055,0.046,0.994
2/15/2022,0.001,0.039,0.014,0.294
2/16/2022,0.001,0.042,0.032,0.54
2/17/2022,0.001,0.041,0.037,0.723
2/18/2022,0.001,0.039,0.045,0.859
2/19/2022,0.001,0.046,0.042,1.038
2/20/2022,0.001,0.057,0.035,0.937
2/21/2022,0.001,0.041,0.007,0.214
2/22/2022,0.001,0.04,0.012,0.219
2/23/2022,0.001,0.035,0.027,0.363
2/24/2022,0.001,0.042,0.033,0.501
2/25/2022,0.001,0.039,0.037,0.805
2/26/2022,0.001,0.042,0.038,0.715
2/27/2022,0.001,0.043,0.031,0.45
2/28/2022,0.001,0.042,0.036,0.428
3/1/2022,0.001,0.048,0.048,0.84
3/2/2022,0.002,0.061,0.047,1.207
3/3/2022,0.002,0.063,0.047,1.114
3/4/2022,0.001,0.039,0.02,0.284
3/5/2022,0.001,0.044,0.01,0.312
3/6/2022,0.001,0.044,0.022,0.625
3/7/2022,0.001,0.045,0.028,0.713
3/8/2022,0.001,0.046,0.036,0.493
3/9/2022,0.001,0.053,0.041,0.839
3/10/2022,0.001,0.047,0.017,0.273
3/11/2022,0.001,0.046,0.042,0.666
3/12/2022,0.001,0.052,0.04,0.897
3/13/2022,0.001,0.056,0.039,0.842
3/14/2022,0.001,0.055,0.041,0.776
3/15/2022,0.004,0.064,0.045,1.247
3/16/2022,0.002,0.051,0.036,1.139
3/17/2022,,0.055,0.034,0.529
3/18/2022,,0.06,0.044,0.848
3/19/2022,,0.052,0.038,0.677
3/20/2022,,0.047,0.022,0.463
3/21/2022,,0.045,0.035,0.513
3/22/2022,,0.042,0.04,0.523
3/23/2022,0.001,0.056,0.041,0.837
3/24/2022,0.001,0.062,0.043,0.673
3/25/2022,0.001,0.056,0.046,0.923
3/26/2022,0.001,0.059,0.039,0.81
3/27/2022,0.001,0.052,0.008,0.234
3/28/2022,0.001,0.043,0.016,0.2
3/29/2022,0.001,0.044,0.018,0.343
