time,SO2,O3,NO2,CO
1/1/2022,0,0.042,0.016,0.445
1/2/2022,0,0.045,0.024,0.67
1/3/2022,0,0.044,0.029,0.939
1/4/2022,0,0.044,0.025,1.024
1/5/2022,0,0.045,0.027,1.246
1/6/2022,0,0.044,0.034,1.215
1/7/2022,0,0.059,0.02,0.979
1/8/2022,0,0.044,0.021,0.601
1/9/2022,0,0.046,0.021,0.822
1/10/2022,0,0.04,0.035,1.045
1/11/2022,0,0.048,0.032,1.343
1/12/2022,0,0.041,0.033,1.159
1/13/2022,0,0.031,0.036,0.971
1/14/2022,0,0.046,0.034,0.977
1/15/2022,0,0.041,0.025,0.79
1/16/2022,0,0.042,0.021,0.536
1/17/2022,0,0.043,0.016,0.528
1/18/2022,0,0.035,0.009,0.311
1/19/2022,0,0.04,0.02,0.525
1/20/2022,0,0.044,0.025,0.742
1/21/2022,0,0.044,0.021,0.77
1/22/2022,0,0.043,0.027,0.721
1/23/2022,0,0.046,0.027,0.692
1/24/2022,0,0.051,0.025,0.809
1/25/2022,0,0.045,0.025,1.01
1/26/2022,0,0.044,0.021,0.594
1/27/2022,0,0.051,0.029,0.776
1/28/2022,0,0.047,0.036,1.074
1/29/2022,0,0.043,0.033,0.945
1/30/2022,0,0.05,0.027,0.72
1/31/2022,0,0.042,0.024,0.935
2/1/2022,0,0.041,0.021,0.528
2/2/2022,0,0.048,0.021,0.65
2/3/2022,0,0.043,0.028,0.779
2/4/2022,0,0.048,0.03,0.918
2/5/2022,0,0.049,0.029,0.715
2/6/2022,0,0.053,0.031,0.735
2/7/2022,0,0.05,0.03,0.904
2/8/2022,0,0.051,0.033,0.829
2/9/2022,0,0.052,0.031,0.968
2/10/2022,0,0.051,0.029,0.642
2/11/2022,0,0.052,0.033,0.87
2/12/2022,0.001,0.048,0.032,0.928
2/13/2022,0,0.054,0.028,1.029
2/14/2022,0,0.058,0.024,0.722
2/15/2022,0,0.045,0.007,0.3
2/16/2022,0,0.046,0.012,0.369
2/17/2022,0,0.048,0.019,0.74
2/18/2022,0,0.05,0.029,0.689
2/19/2022,0,0.052,0.025,0.604
2/20/2022,0,0.058,0.013,0.475
2/21/2022,0,0.048,0.005,0.218
2/22/2022,0,0.043,0.007,0.232
2/23/2022,0,0.044,0.021,0.514
2/24/2022,0,0.046,0.019,0.679
2/25/2022,0,0.051,0.026,0.722
2/26/2022,0,0.053,0.018,0.519
2/27/2022,0,0.051,0.028,0.673
2/28/2022,0,0.054,0.029,0.723
3/1/2022,0,0.059,0.034,0.718
3/2/2022,0,0.073,0.031,0.66
3/3/2022,0,0.053,0.023,0.696
3/4/2022,0,0.045,0.007,0.261
3/5/2022,0,0.049,0.004,0.201
3/6/2022,0,0.046,0.013,0.407
3/7/2022,0,0.052,0.02,0.548
3/8/2022,0,0.052,0.021,0.585
3/9/2022,0,0.054,0.021,0.641
3/10/2022,0,0.045,0.016,0.38
3/11/2022,0,0.055,0.02,0.536
3/12/2022,0,0.056,0.02,0.564
3/13/2022,0,0.054,0.018,0.584
3/14/2022,0,0.06,0.015,0.486
3/15/2022,0,0.071,0.022,0.814
3/16/2022,0,0.053,0.009,0.35
3/17/2022,0,0.055,0.02,0.745
3/18/2022,0,0.064,0.028,0.785
3/19/2022,0,0.052,0.014,0.428
3/20/2022,0,0.049,0.008,0.284
3/21/2022,0,0.052,0.012,0.345
3/22/2022,0,0.06,0.021,0.463
3/23/2022,0,0.067,0.025,0.608
3/24/2022,0,0.064,0.027,0.703
3/25/2022,0,0.071,0.017,0.515
3/26/2022,0,0.068,0.012,0.451
3/27/2022,0,0.053,0.004,0.312
3/28/2022,0,0.043,0.004,0.2
3/29/2022,0,0.047,0.008,0.246
3/30/2022,0,0.052,0.014,0.336
3/31/2022,0,0.041,0.013,0.341
4/1/2022,0,0.055,0.008,0.255
4/2/2022,0,0.042,0.009,0.257
4/3/2022,0,0.046,0.004,0.234
4/4/2022,0,0.06,0.009,0.299
4/5/2022,0,0.071,0.016,0.624
4/6/2022,0,0.076,0.018,0.577
4/7/2022,0,0.064,0.023,0.654
4/8/2022,0,0.063,0.028,0.73
4/9/2022,0.001,0.059,0.017,0.437
4/10/2022,0,0.051,0.004,0.213
4/11/2022,0,0.052,0.005,0.213
4/12/2022,0,0.056,0.006,0.212
4/13/2022,0,0.06,0.01,0.295
4/14/2022,0,0.066,0.014,0.335
4/15/2022,0,0.067,0.008,0.285
4/16/2022,0,0.042,0.005,0.241
4/17/2022,0,0.046,0.007,0.235
4/18/2022,0,0.058,0.01,0.328
4/19/2022,0,0.054,0.011,0.414
4/20/2022,0,0.047,0.005,0.193
4/21/2022,0,0.054,0.008,0.227
4/22/2022,0,0.053,0.005,0.227
4/23/2022,0,0.056,0.009,0.289
4/24/2022,0,0.057,0.016,0.396
4/25/2022,0,0.067,0.023,0.431
4/26/2022,0,0.078,0.022,0.505
4/27/2022,0.001,0.057,0.007,0.732
4/28/2022,0,0.056,0.007,0.241
4/29/2022,0,0.066,0.011,0.385
4/30/2022,0,0.07,0.011,0.35
5/1/2022,0,0.057,0.008,0.343
5/2/2022,0,0.055,0.005,0.244
5/3/2022,0,0.052,0.006,0.245
5/4/2022,0,0.061,0.007,0.296
5/5/2022,0,0.066,0.011,0.36
5/6/2022,0,0.069,0.011,0.403
5/7/2022,0,0.045,0.007,0.298
5/8/2022,0,0.046,0.004,0.183
5/9/2022,0,0.05,0.006,0.214
5/10/2022,0,0.053,0.006,0.238
5/11/2022,0,0.055,0.009,0.213
5/12/2022,0,0.066,0.022,0.47
5/13/2022,0.001,0.08,0.024,0.513
5/14/2022,0.001,0.1,0.018,0.457
5/15/2022,0.001,0.074,0.012,0.37
5/16/2022,0,0.049,0.007,0.334
5/17/2022,0,0.047,0.006,0.226
5/18/2022,0,0.054,0.004,0.215
5/19/2022,0,0.054,0.008,0.321
5/20/2022,0,0.045,0.006,0.23
5/21/2022,0,0.046,0.005,0.197
5/22/2022,0,0.049,0.004,0.28
5/23/2022,0,0.059,0.006,0.266
5/24/2022,0,0.055,0.008,0.319
5/25/2022,0,0.056,0.011,0.416
5/26/2022,0,0.051,0.007,0.314
5/27/2022,0,0.052,0.005,0.223
5/28/2022,0,0.044,0.004,0.169
5/29/2022,0,0.041,0.003,0.169
5/30/2022,0,0.055,0.006,0.218
5/31/2022,0,0.05,0.007,0.228
6/1/2022,0,0.063,0.007,0.275
6/2/2022,0,0.067,0.009,0.362
6/3/2022,0,0.067,0.008,0.339
6/4/2022,0,0.041,0.004,0.206
6/5/2022,0,0.051,0.004,0.194
6/6/2022,0,0.031,0.007,0.225
6/7/2022,0,0.043,0.008,0.304
6/8/2022,0,0.054,0.009,0.316
6/9/2022,0,0.071,0.009,0.33
6/10/2022,0,0.063,0.011,0.45
6/11/2022,0,0.055,0.008,0.366
6/12/2022,0,0.055,0.007,0.23
6/13/2022,0,0.029,0.006,0.226
6/14/2022,0,0.052,0.006,0.253
6/15/2022,0,0.057,0.007,0.269
6/16/2022,0,0.063,0.007,0.311
6/17/2022,0,0.058,0.004,0.228
6/18/2022,0,0.047,0.004,0.172
6/19/2022,0,0.052,0.005,0.238
6/20/2022,0,0.07,0.013,0.37
6/21/2022,0,0.071,0.011,0.39
6/22/2022,0,0.063,0.011,0.398
6/23/2022,0,0.072,0.01,0.355
6/24/2022,0,0.069,0.016,0.396
