time,SO2,O3,NO2,CO
1/1/2022,,0.033,0.033,0.528
1/2/2022,,0.036,0.037,0.546
1/3/2022,,0.036,0.02,0.36
1/4/2022,,0.036,0.026,0.427
1/5/2022,,0.036,0.026,0.492
1/6/2022,,0.027,0.02,0.317
1/7/2022,,0.039,0.018,0.319
1/8/2022,,0.029,0.028,0.523
1/9/2022,,0.026,0.027,0.715
1/10/2022,,0.024,0.035,0.682
1/11/2022,,0.024,0.038,0.886
1/12/2022,,0.029,0.037,0.551
1/13/2022,,0.026,0.033,0.568
1/14/2022,,0.018,0.035,1.038
1/15/2022,,0.025,0.031,0.572
1/16/2022,,0.031,0.034,0.706
1/17/2022,,0.028,0.028,0.533
1/18/2022,,0.03,0.017,0.297
1/19/2022,,0.021,0.027,0.532
1/20/2022,,0.02,0.028,0.72
1/21/2022,,0.038,0.03,0.801
1/22/2022,,0.04,0.038,0.917
1/23/2022,,0.039,0.031,0.509
1/24/2022,,0.036,0.027,0.764
1/25/2022,,0.032,0.025,0.424
1/26/2022,,0.032,0.038,0.811
1/27/2022,,0.031,0.042,0.775
1/28/2022,,0.04,0.046,0.896
1/29/2022,,0.04,0.035,0.721
1/30/2022,,0.04,0.027,0.64
1/31/2022,,0.035,0.029,0.6
2/1/2022,,0.041,0.026,0.481
2/2/2022,,0.039,0.026,0.421
2/3/2022,,0.031,0.032,0.665
2/4/2022,,0.046,0.036,0.702
2/5/2022,,0.022,0.031,0.603
2/6/2022,,0.038,0.023,0.525
2/7/2022,,0.047,0.033,1.469
2/8/2022,,0.039,0.041,1.363
2/9/2022,,0.034,0.043,0.966
2/10/2022,,0.037,0.035,0.815
2/11/2022,,0.044,0.036,0.852
2/12/2022,,0.053,0.037,0.911
2/13/2022,,0.051,0.033,0.795
2/14/2022,,0.045,0.007,0.344
2/15/2022,,0.039,0.014,0.4
2/16/2022,,0.039,0.034,0.542
2/17/2022,,0.04,0.029,0.419
2/18/2022,,0.041,0.035,0.779
2/19/2022,,0.051,0.032,0.672
2/20/2022,,0.042,0.003,0.305
2/21/2022,,0.04,0.018,0.423
2/22/2022,,0.038,0.01,0.34
2/23/2022,,0.036,0.021,0.499
2/24/2022,,0.036,0.032,0.604
