time,SO2,O3,NO2,CO
1/1/2022,,0.032,0.032,1.006
1/2/2022,,0.013,0.021,1.268
1/3/2022,,0.026,0.019,1.067
1/4/2022,,0.028,0.024,0.998
1/5/2022,,0.031,0.025,1.42
1/6/2022,,0.024,0.014,0.4
1/7/2022,,0.026,0.021,0.446
1/8/2022,,0.027,0.018,0.533
1/9/2022,,0.029,0.017,0.666
1/10/2022,,0.026,0.022,1.102
1/11/2022,,0.022,0.023,1.373
1/12/2022,,0.03,0.031,0.994
1/13/2022,,0.031,0.023,0.993
1/14/2022,,0.022,0.019,0.708
1/15/2022,,0.012,0.021,0.998
1/16/2022,,0.03,0.022,0.875
1/17/2022,,0.028,0.022,1.726
1/18/2022,,0.028,0.021,1.269
1/19/2022,,0.028,0.028,1.261
1/20/2022,,0.037,0.029,1.109
1/21/2022,,0.037,0.025,0.811
1/22/2022,,0.035,0.029,0.767
1/23/2022,,0.039,0.029,1.819
1/24/2022,,0.037,0.028,1.64
1/25/2022,,0.031,0.036,1.67
1/26/2022,,0.041,0.028,0.798
1/27/2022,,0.032,0.032,1.473
1/28/2022,,0.035,0.028,1.566
1/29/2022,,0.039,0.033,2.087
1/30/2022,,0.042,0.029,1.867
1/31/2022,,0.041,0.031,0.984
2/1/2022,,0.039,0.007,0.21
2/2/2022,,0.039,0.023,0.302
2/3/2022,,0.031,0.032,1.879
2/4/2022,,0.042,0.037,0.98
2/5/2022,,0.043,0.034,1.504
2/6/2022,,0.047,0.04,2.101
2/7/2022,,0.044,0.037,1.194
2/8/2022,,0.041,0.041,1.664
2/9/2022,,0.045,0.04,1.473
2/10/2022,,0.043,0.039,1.559
2/11/2022,,0.052,0.037,1.744
2/12/2022,,0.058,0.032,1.675
2/13/2022,,0.049,0.031,1.543
2/14/2022,,0.042,0.029,1.701
2/15/2022,,0.041,0.006,0.18
2/16/2022,,0.037,0.015,0.332
2/17/2022,,0.039,0.035,1.046
2/18/2022,,0.041,0.036,2.125
2/19/2022,,0.052,0.036,2.081
2/20/2022,,0.038,0.03,1.602
2/21/2022,,0.042,0.006,0.218
2/22/2022,,0.039,0.016,0.274
2/23/2022,,0.038,0.021,0.34
2/24/2022,,0.042,0.028,0.857
2/25/2022,,0.043,0.033,0.861
2/26/2022,,0.045,0.027,1.029
2/27/2022,,0.049,0.03,0.728
2/28/2022,,0.049,0.03,0.815
3/1/2022,,0.046,0.037,1.156
3/2/2022,,0.049,0.032,0.752
3/3/2022,,0.037,0.025,0.497
3/4/2022,,0.042,0.011,0.295
3/5/2022,,0.041,0.025,0.654
3/6/2022,,0.041,0.026,0.769
3/7/2022,,0.045,0.023,0.376
3/8/2022,,0.049,0.043,0.74
3/9/2022,,0.045,0.031,0.659
3/10/2022,,0.046,0.009,0.212
3/11/2022,,0.048,0.035,0.898
3/12/2022,,0.058,0.033,0.931
3/13/2022,,0.051,0.015,0.255
3/14/2022,,0.051,0.026,0.425
3/15/2022,,0.041,0.027,0.341
3/16/2022,,0.048,0.01,0.226
3/17/2022,,0.05,0.029,0.548
3/18/2022,,0.046,0.024,0.502
3/19/2022,,0.042,0.009,0.221
3/20/2022,,0.049,0.005,0.208
3/21/2022,,0.044,0.009,0.252
3/22/2022,,0.056,0.036,0.683
3/23/2022,,0.043,0.032,0.392
3/24/2022,,0.051,0.017,0.325
3/25/2022,,0.06,0.008,0.24
3/26/2022,,0.044,0.021,0.346
3/27/2022,,0.041,0.015,0.213
3/28/2022,,0.036,0.011,0.247
3/29/2022,,0.037,0.018,0.553
3/30/2022,,0.037,0.015,0.253
3/31/2022,,0.044,0.014,0.229
4/1/2022,,0.046,0.026,0.605
4/2/2022,,0.048,0.021,0.399
4/3/2022,,0.052,0.009,0.213
4/4/2022,,0.04,0.01,0.395
4/5/2022,,0.051,0.005,0.228
4/6/2022,,0.052,0.044,0.611
4/7/2022,,0.081,0.036,0.545
4/8/2022,,0.055,0.033,0.822
4/9/2022,,0.051,0.004,0.18
4/10/2022,,0.045,0.005,0.207
4/11/2022,,0.046,0.01,0.25
4/12/2022,,0.046,0.006,0.202
4/13/2022,,0.051,0.014,0.253
4/14/2022,,0.036,0.016,0.268
4/15/2022,,0.049,0.015,0.355
4/16/2022,,0.041,0.016,0.239
4/17/2022,,0.052,0.018,0.269
4/18/2022,,0.048,0.025,0.325
4/19/2022,,0.051,0.013,0.438
4/20/2022,,0.047,0.025,0.723
4/21/2022,,0.044,0.017,0.367
4/22/2022,,0.046,0.027,0.418
4/23/2022,,0.047,0.01,0.177
4/24/2022,,0.048,0.012,0.197
4/25/2022,,0.054,0.022,0.357
4/26/2022,,0.053,0.009,0.131
4/27/2022,,0.054,0.01,0.127
4/28/2022,,0.05,0.008,0.123
4/29/2022,,0.054,0.009,0.198
4/30/2022,,0.043,0.026,0.47
5/1/2022,,0.05,0.008,0.211
5/2/2022,,0.051,0.007,0.236
5/3/2022,,0.047,0.008,0.224
5/4/2022,,0.056,0.029,0.426
5/5/2022,,0.043,0.014,0.225
5/6/2022,,0.03,0.006,0.171
5/7/2022,,0.042,0.005,0.192
5/8/2022,,0.047,0.004,0.161
5/9/2022,,0.044,0.009,0.258
5/10/2022,,0.041,0.019,0.248
5/11/2022,,0.045,0.012,0.245
5/12/2022,,0.048,0.012,0.189
5/13/2022,,0.04,0.013,0.219
5/14/2022,,0.043,0.008,0.188
5/15/2022,,0.036,0.014,0.202
5/16/2022,,0.043,0.005,0.333
5/17/2022,,0.049,0.01,0.205
5/18/2022,,0.058,0.011,0.206
5/19/2022,,0.05,0.006,0.182
5/20/2022,,0.051,0.009,0.212
5/21/2022,,0.049,0.012,0.229
5/22/2022,,0.048,0.011,0.252
5/23/2022,,0.053,0.008,0.212
